	901|1.5,Tm|0.3	P6|20,Tm|0.3	NT|3,SR|2.4	RY|2,P6|20	PLX|60,P6|20	901|1.5,SR|2.4	P6|20	ST|0.6,Tm|0.3	ZS|0.6,P6|20	P6|20,HN|6	901|1.5,HN|6	NT|3,Tm|0.3	NT|6	AK|10	AK|5,Tm|0.3	901|1.5,PLX|60	ZS|0.6,NT|3	AK|5	ZS|0.6,Tm|0.3	P6|20,SR|2.4	RY|2,HN|6	RY|2,RO|3.5	PLX|60,RO|3.5	ST|0.6,NT|3	PLX|60	PLX|60,Tm|0.3	901|1.5	ZS|0.6,PLX|60	ZS|0.6,HN|6	RY|2,SR|2.4	AK|5,ZS|0.6	RY|2,ZS|0.6	ST|0.6,HN|6	901|1.5,NT|3	RO|3.5	P6|20,RO|3.5	Tm|0.6	AK|5,ST|0.6	Tm|0.3	RY|2,Tm|0.3	P6|20,ST|0.6	PLX|60,ST|0.6	PLX|60,SR|2.4	ST|1.2	HN|6,NT|3	ZS|0.6,RO|3.5	P6|20,NT|3	RY|2,AK|5	ST|0.6,RO|3.5	RY|2,NT|3	RY|2	901|1.5,ZS|0.6	RY|2,901|1.5	HN|6	AK|5,PLX|60	HN|6,SR|2.4	PLX|60,HN|6	RY|2,ST|0.6	ST|0.6	SR|2.4,RO|3.5	901|1.5,P6|20	ZS|1.2	901|1.5,ST|0.6	NT|3,RO|3.5	PLX|60,NT|3	NT|3	ZS|0.6,ST|0.6	901|1.5,RO|3.5	AK|5,NT|3	P6|40	AK|5,901|1.5	901|3	RO|7	SR|2.4,Tm|0.3	AK|5,HN|6	AK|5,P6|20	ZS|0.6	SR|4.8	HN|6,RO|3.5	RO|3.5,Tm|0.3	SR|2.4	RY|2,PLX|60	ST|0.6,SR|2.4	HN|12	HN|6,Tm|0.3	PLX|120	AK|5,RO|3.5	ZS|0.6,SR|2.4	AK|5,SR|2.4
ABL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACACA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACACB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGFG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKT1	0.0222010182371	0.00989406299612	0.0480242076421	0.00041632663421	0.0152321909769	0.0128114422239	0.0	0.00989406299612	0.0940983588689	0.0	0.012306955241	0.0574137836553	0.0475197206592	0.0885029914021	0.0983970543982	0.0221896984231	0.141618079528	0.0885029914021	0.103992421865	0.00050448698291	0.00041632663421	0.00041632663421	0.0152321909769	0.0475197206592	0.0152321909769	0.025126253973	0.012306955241	0.109330549846	0.0940983588689	0.000920813617121	0.0940983588689	0.0945146855031	0.0	0.0598266759002	0.0	0.0	0.00989406299612	0.0885029914021	0.00989406299612	0.0103103896303	0.0	0.0152321909769	0.0157366779598	0.0	0.0475197206592	0.0940983588689	0.0475197206592	0.0889193180363	0.0	0.0479360472934	0.00041632663421	0.10640531411	0.0127232818752	0.0	0.103735182379	0.00050448698291	0.0152321909769	0.00041632663421	0.0	0.00050448698291	0.012306955241	0.0940983588689	0.012306955241	0.0475197206592	0.0627519116361	0.0475197206592	0.0940983588689	0.012306955241	0.136022712061	0.0	0.100809946643	0.012306955241	0.0	0.010398549979	0.0885029914021	0.0885029914021	0.0940983588689	0.00050448698291	0.0	0.00989406299612	0.00050448698291	0.0156485176111	0.00050448698291	0.0	0.00989406299612	0.0152321909769	0.0885029914021	0.0946028458518	0.089007478385
AKT1S1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKT2	0.0318959741231	0.0230948052232	0.0512403931461	9.8095013945e-05	0.00476392812139	0.00883725287415	0.0	0.0230948052232	0.570315968272	0.0	0.00880116889988	0.0742991143951	0.0512043091718	0.570127441772	0.593222246995	0.00987361453525	0.621520277444	0.570127441772	0.593410773495	3.60839742739e-05	9.8095013945e-05	9.8095013945e-05	0.00476392812139	0.0512043091718	0.00476392812139	0.0278587333446	0.00880116889988	0.575079896393	0.570315968272	0.000134178988219	0.570315968272	0.570414063286	0.0	0.0600054780717	0.0	0.0	0.0230948052232	0.570127441772	0.0230948052232	0.0231929002372	0.0	0.00476392812139	0.00480001209567	0.0	0.0512043091718	0.570315968272	0.0512043091718	0.570225536785	0.0	0.0513024041858	9.8095013945e-05	0.579117137172	0.00889926391383	0.0	0.574891369893	3.60839742739e-05	0.00476392812139	9.8095013945e-05	0.0	3.60839742739e-05	0.00880116889988	0.570315968272	0.00880116889988	0.0512043091718	0.0559682372932	0.0512043091718	0.570315968272	0.00880116889988	0.621331750943	0.0	0.578928610671	0.00880116889988	0.0	0.0231308891975	0.570127441772	0.570127441772	0.570315968272	3.60839742739e-05	0.0	0.0230948052232	3.60839742739e-05	0.00486202313534	3.60839742739e-05	0.0	0.0230948052232	0.00476392812139	0.570127441772	0.570352052246	0.570163525746
AKT3	0.00122134570888	0.000299266235161	0.000530029132402	0.0010342951746	0.000205349730769	0.00141984874072	0.0	0.000299266235161	0.905489067346	0.0	0.000922079473722	0.000331526100563	3.22598654017e-05	0.905467262584	0.905766528819	0.00103311777165	0.905521327211	0.905467262584	0.905788333581	0.000497769267	0.0010342951746	0.0010342951746	0.000205349730769	3.22598654017e-05	0.000205349730769	0.00050461596593	0.000922079473722	0.905694417076	0.905489067346	0.0015320644416	0.905489067346	0.90652336252	0.0	0.000954339339124	0.0	0.0	0.000299266235161	0.905467262584	0.000299266235161	0.00133356140976	0.0	0.000205349730769	0.000703118997769	0.0	3.22598654017e-05	0.905489067346	3.22598654017e-05	0.906501557759	0.0	0.00106655504	0.0010342951746	0.906411146819	0.00195637464832	0.0	0.905672612315	0.000497769267	0.000205349730769	0.0010342951746	0.0	0.000497769267	0.000922079473722	0.905489067346	0.000922079473722	3.22598654017e-05	0.00023760959617	3.22598654017e-05	0.905489067346	0.000922079473722	0.90549952245	0.0	0.906389342058	0.000922079473722	0.0	0.000797035502162	0.905467262584	0.905467262584	0.905489067346	0.000497769267	0.0	0.000299266235161	0.000497769267	0.00123964490537	0.000497769267	0.0	0.000299266235161	0.000205349730769	0.905467262584	0.905986836613	0.905965031851
