	901|1.5,Tm|0.3	P6|20,Tm|0.3	NT|3,SR|2.4	RY|2,P6|20	PLX|60,P6|20	901|1.5,SR|2.4	P6|20	ST|0.6,Tm|0.3	ZS|0.6,P6|20	P6|20,HN|6	901|1.5,HN|6	NT|3,Tm|0.3	NT|6	AK|10	AK|5,Tm|0.3	901|1.5,PLX|60	ZS|0.6,NT|3	AK|5	ZS|0.6,Tm|0.3	P6|20,SR|2.4	RY|2,HN|6	RY|2,RO|3.5	PLX|60,RO|3.5	ST|0.6,NT|3	PLX|60	PLX|60,Tm|0.3	901|1.5	ZS|0.6,PLX|60	ZS|0.6,HN|6	RY|2,SR|2.4	AK|5,ZS|0.6	RY|2,ZS|0.6	ST|0.6,HN|6	901|1.5,NT|3	RO|3.5	P6|20,RO|3.5	Tm|0.6	AK|5,ST|0.6	Tm|0.3	RY|2,Tm|0.3	P6|20,ST|0.6	PLX|60,ST|0.6	PLX|60,SR|2.4	ST|1.2	HN|6,NT|3	ZS|0.6,RO|3.5	P6|20,NT|3	RY|2,AK|5	ST|0.6,RO|3.5	RY|2,NT|3	RY|2	901|1.5,ZS|0.6	RY|2,901|1.5	HN|6	AK|5,PLX|60	HN|6,SR|2.4	PLX|60,HN|6	RY|2,ST|0.6	ST|0.6	SR|2.4,RO|3.5	901|1.5,P6|20	ZS|1.2	901|1.5,ST|0.6	NT|3,RO|3.5	PLX|60,NT|3	NT|3	ZS|0.6,ST|0.6	901|1.5,RO|3.5	AK|5,NT|3	P6|40	AK|5,901|1.5	901|3	RO|7	SR|2.4,Tm|0.3	AK|5,HN|6	AK|5,P6|20	ZS|0.6	SR|4.8	HN|6,RO|3.5	RO|3.5,Tm|0.3	SR|2.4	RY|2,PLX|60	ST|0.6,SR|2.4	HN|12	HN|6,Tm|0.3	PLX|120	AK|5,RO|3.5	ZS|0.6,SR|2.4	AK|5,SR|2.4
ABL1	1.01213606449e-05	1.83482282472e-06	5.00952155401e-06	1.83754137839e-06	5.65944069228e-06	1.51214899992e-05	1.82933206889e-06	1.11792781459e-08	5.99726403335e-06	4.65828951764e-06	1.29448273378e-05	9.39219970251e-09	3.90144386726e-09	4.16306657949e-06	4.16855733532e-06	1.0117855642e-05	4.17183340833e-06	4.16306657949e-06	4.1734227203e-06	5.008782966e-06	2.83716675826e-06	1.23704810582e-07	3.94560412447e-06	9.58996617795e-09	3.8301086234e-06	3.83559937923e-06	1.0115869889e-05	7.99804058786e-06	6.99688941322e-06	5.01382941965e-06	4.16793196447e-06	4.17614127397e-06	2.83464597107e-06	1.01197713329e-05	1.15495501077e-07	1.94482756996e-06	5.49075583525e-09	4.1687551018e-06	5.49075583525e-09	1.37000653406e-08	1.8350205912e-06	3.83579714571e-06	8.83572873354e-06	5.68852231068e-09	2.83285889262e-06	4.28342746554e-06	1.83323351275e-06	4.17127588899e-06	1.21184023387e-07	1.21107533727e-08	8.2093095054e-09	1.42838018535e-05	1.01240791986e-05	2.82895744876e-06	7.99317520288e-06	7.8345775589e-06	6.65906607215e-06	1.38978318161e-08	5.68852231068e-09	5.12111561122e-06	1.19452019579e-05	4.16793196447e-06	1.01215584114e-05	1.19396944944e-07	3.83401006726e-06	3.90144386726e-09	4.17362048678e-06	1.02313653901e-05	4.16696802335e-06	1.82933206889e-06	1.42789364685e-05	1.0115869889e-05	1.15495501077e-07	5.01111086598e-06	6.99202402824e-06	5.99239864837e-06	4.16793196447e-06	5.00562011015e-06	2.94445294983e-06	1.20986256912e-07	5.00562011015e-06	3.8383179329e-06	5.01130863246e-06	2.82895744876e-06	2.83444820459e-06	3.8301086234e-06	4.27856208056e-06	9.17355207461e-06	9.16868668963e-06
ACACA	2.91327478148e-08	3.74962373789e-06	3.7537399488e-06	3.75098717373e-06	3.76037133764e-06	3.772076248e-06	3.74453503781e-06	9.37084652206e-09	8.13072659486e-06	9.28192884421e-06	5.56143785414e-06	1.07964486114e-08	5.70774853522e-09	4.38166314696e-06	4.38675184704e-06	2.62915177277e-08	4.39189930558e-06	4.38166314696e-06	4.39128025712e-06	3.75260952954e-06	5.54384594233e-06	1.06486054441e-07	1.15870218351e-07	9.9898949811e-09	1.58362998349e-08	2.0924999911e-08	2.40440477386e-08	4.40202785688e-06	9.92358536345e-06	3.75448433619e-06	4.38619155705e-06	4.39264369297e-06	5.54167595285e-06	2.97517962738e-08	1.00033918516e-07	3.84456895633e-06	5.08870007617e-09	4.38594529341e-06	5.08870007617e-09	1.15408360013e-08	3.74881718426e-06	2.01184462808e-08	3.7638685001e-06	4.28214644589e-09	5.54310155494e-06	4.48622547556e-06	3.75024278634e-06	4.38811528289e-06	1.04316064962e-07	1.21598844603e-08	6.45213592508e-09	4.41023560479e-06	3.04961836637e-08	5.5373938064e-06	4.3974994468e-06	9.28542600666e-06	5.55323010624e-06	1.0734282371e-08	4.28214644589e-09	3.84806611878e-06	3.76857908555e-06	4.38619155705e-06	2.83261941845e-08	1.05741667051e-07	2.15440483701e-08	5.70774853522e-09	4.39047370349e-06	1.24077966254e-07	4.3873708955e-06	3.74453503781e-06	4.4057071947e-06	2.40440477386e-08	1.00033918516e-07	3.75312090034e-06	9.91905695336e-06	8.12619818477e-06	4.38619155705e-06	3.74803220026e-06	5.63742772492e-06	1.05122618592e-07	3.74803220026e-06	2.22884357599e-08	3.75231434671e-06	5.5373938064e-06	5.54248250648e-06	1.58362998349e-08	4.48169706548e-06	8.13422375731e-06	8.12969534722e-06
ACACB	3.19926532419e-06	9.03487847383e-09	1.11967093117e-08	8.66683662676e-09	3.20048591303e-06	3.20507071709e-06	5.91970091164e-09	4.92639291032e-09	2.42182226565e-08	7.85363076883e-09	3.19808407648e-06	5.39131640876e-09	2.27613884658e-09	1.75888309574e-08	2.07040085196e-08	3.19795103403e-06	2.05746605914e-08	1.75888309574e-08	2.1413699307e-08	9.81036256709e-09	4.68106557231e-09	1.25820376492e-06	4.45002284132e-06	4.0873541947e-09	3.19456621212e-06	3.19768138969e-06	3.19615014663e-06	3.21286473387e-06	2.0232451602e-08	1.16677061803e-08	1.82985217448e-08	2.104565746e-08	3.74514520532e-09	3.19842628547e-06	1.2554566292e-06	1.26137633011e-06	3.11517756219e-09	1.94000463055e-08	3.11517756219e-09	5.86231327731e-09	7.73091625977e-09	3.19637742747e-06	3.20348678259e-06	1.81121534813e-09	4.21006870376e-09	1.27375515095e-06	8.19583975822e-09	2.03359666725e-08	1.25726784455e-06	5.0232745617e-09	2.74713571512e-09	3.21444866837e-06	3.19889728234e-06	1.93392985719e-09	3.21215504308e-06	1.08545003223e-08	3.19650014198e-06	4.55835106325e-09	1.81121534813e-09	1.26437719967e-06	3.20206984754e-06	1.82985217448e-08	3.19796136198e-06	1.25773276805e-06	3.19684235097e-06	2.27613884658e-09	2.0109737093e-08	4.45160677583e-06	1.98649698039e-08	5.91970091164e-09	3.21373897758e-06	3.19615014663e-06	1.2554566292e-06	1.20357480273e-08	1.95227608146e-08	2.3508531869e-08	1.82985217448e-08	8.92057046514e-09	1.25739055906e-06	1.25857180676e-06	8.92057046514e-09	3.19731334784e-06	1.07317858133e-08	1.93392985719e-09	5.04910741937e-09	3.19456621212e-06	1.27304546016e-06	2.721909221e-08	2.65094014225e-08
ACTB	4.34644837324e-06	9.93216430155e-06	7.34721731717e-06	1.21814892579e-05	1.42620892167e-05	1.16797830829e-05	9.92628275799e-06	2.60498859804e-06	1.3545049902e-05	1.87719816274e-05	1.31862656991e-05	1.38826074583e-08	8.00106389819e-09	3.61429586587e-06	3.62017740943e-06	4.34944780377e-06	3.62676820795e-06	3.61429586587e-06	3.62464868761e-06	9.9370787609e-06	1.11009053693e-05	5.87958650071e-06	7.96018645957e-06	2.60710811838e-06	4.33580645874e-06	4.3416880023e-06	4.34056682968e-06	7.95457360279e-06	1.24644660135e-05	9.59442275314e-06	3.61876714405e-06	5.87397364392e-06	1.14448059239e-05	4.34856789357e-06	3.62438000083e-06	1.35506627588e-05	5.88154356012e-09	6.21340292035e-06	5.88154356012e-09	2.26108804343e-06	1.25253898125e-05	6.93491351321e-06	1.1675022712e-05	2.59910705448e-06	8.85369993331e-06	7.24314714488e-06	9.93428382189e-06	5.86950236574e-06	6.22348705531e-06	2.26320756377e-06	2.25520649987e-06	7.95933397373e-06	6.59577332955e-06	8.84569886941e-06	7.95010232461e-06	1.61849151227e-05	1.31815053281e-05	4.85431355435e-06	2.59910705448e-06	1.09635962541e-05	1.42668495877e-05	3.61876714405e-06	6.93967388415e-06	3.63238106473e-06	4.34380752263e-06	8.00106389819e-09	6.21787419853e-06	7.96494683051e-06	3.62229692977e-06	9.92628275799e-06	7.95486269555e-06	4.34056682968e-06	3.62438000083e-06	7.34509779683e-06	1.24599947353e-05	1.35405786239e-05	3.61876714405e-06	7.33921625327e-06	1.24700788702e-05	3.63026154439e-06	7.33921625327e-06	6.59101295861e-06	9.93832330775e-06	8.84569886941e-06	8.85158041297e-06	4.33580645874e-06	7.23867586671e-06	1.09579833973e-05	1.09535121191e-05
AGFG1	6.97245287068e-06	1.41901648228e-05	1.97092490753e-05	1.71817513321e-05	2.11443739432e-05	2.39131662814e-05	1.41830229701e-05	1.85047798657e-06	1.67508514263e-05	2.04544312034e-05	1.32367192513e-05	2.76853566465e-06	2.76139381203e-06	2.56261735716e-06	2.56975920978e-06	1.10447452624e-05	5.32922226819e-06	2.56261735716e-06	2.57497030878e-06	1.87889356763e-05	9.27013659517e-06	1.17148149067e-05	1.56774375179e-05	4.60472994598e-06	6.9613509731e-06	6.96849282572e-06	6.96531101806e-06	9.52917942926e-06	8.83923668942e-06	1.99465836252e-05	2.56782845616e-06	5.56655681808e-06	8.1147443672e-06	9.72670483009e-06	8.7160865448e-06	2.28991095149e-05	7.14185262166e-09	4.4059534911e-06	7.14185262166e-09	3.00587021454e-06	1.60263591041e-05	8.80468710704e-06	2.39092062364e-05	1.84333613394e-06	9.03280204529e-06	1.1283915001e-05	1.69444167822e-05	5.56134571908e-06	1.05594226787e-05	5.76012217395e-06	2.99872836192e-06	9.53313947422e-06	9.96403937997e-06	6.27140823326e-06	9.52396833026e-06	2.32192634965e-05	1.32327592064e-05	4.84206449586e-06	1.84333613394e-06	2.56639418081e-05	2.11483339882e-05	2.56782845616e-06	8.808647152e-06	1.14774803568e-05	9.72274478513e-06	2.76139381203e-06	4.41116459011e-06	1.56813975629e-05	5.32401116919e-06	1.41830229701e-05	9.52792837522e-06	6.96531101806e-06	8.7160865448e-06	1.69549971159e-05	8.83402559042e-06	1.67456403273e-05	2.56782845616e-06	1.69478552633e-05	1.49874947781e-05	8.72322839742e-06	1.69478552633e-05	9.96007933502e-06	1.87911913972e-05	6.27140823326e-06	6.27855008588e-06	6.9613509731e-06	1.1278703902e-05	1.95156837195e-05	1.95104726205e-05
AIM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKT1	1.21032980605e-08	9.03157743205e-09	1.07634904073e-08	8.22624203635e-09	1.47832111408e-08	1.84297827488e-08	6.50718117381e-09	3.32300756206e-09	0.904847598396	1.00435554436e-08	1.31152760721e-08	4.43700571904e-09	1.9126094608e-09	0.904847591263	0.904847593787	1.09426696405e-08	0.904847593802	0.904847591263	0.904847594414	9.63556163975e-09	5.25543513231e-09	7.07375678416e-08	7.72945369461e-08	2.71122076462e-09	8.27602996702e-09	1.08004262253e-08	9.57890180228e-09	0.904847600165	0.904847595426	1.0569941809e-08	0.904847591889	0.904847593608	4.3349855736e-09	1.14915112631e-08	6.9018506979e-08	7.55256881528e-08	2.52439625824e-09	0.904847592061	2.52439625824e-09	4.24345712078e-09	7.30579247764e-09	9.07464127084e-09	1.71269109135e-08	7.98611303821e-10	5.44898373058e-09	0.904847660908	8.41979063462e-09	0.904847592982	6.98171182829e-08	3.63167032334e-09	1.71906086254e-09	0.904847601468	1.12979626648e-08	3.53637426978e-09	0.904847599539	1.23872552162e-08	1.18124042368e-08	2.51767216636e-09	7.98611303821e-10	7.78693879255e-08	1.60860829761e-08	0.904847591889	1.03775131061e-08	7.09311164398e-08	1.01886394278e-08	1.9126094608e-09	0.904847592688	7.85974087813e-08	0.904847593175	6.50718117381e-09	0.904847600842	9.57890180228e-09	6.9018506979e-08	1.13752772047e-08	0.904847594799	0.90484759777	0.904847591889	8.85088094647e-09	7.25548812488e-08	7.15429032373e-08	8.85088094647e-09	9.99509082956e-09	9.64949225029e-09	3.53637426978e-09	6.06077052802e-09	8.27602996702e-09	0.904847660281	0.90484760074	0.904847600114
AKT1S1	1.94031779349e-06	1.53084574327e-06	4.83762834959e-06	2.7847654635e-06	1.71654914656e-06	1.73155786785e-06	6.5619714429e-07	8.79665998063e-07	6.13815569213e-06	6.72223573933e-07	1.08169562416e-06	5.04638827523e-06	4.17173967626e-06	3.34991776261e-06	4.22456636159e-06	1.06662323515e-06	9.6536982241e-06	3.34991776261e-06	6.35660714682e-06	6.70551893604e-07	2.14459474885e-06	6.25084921849e-06	5.18263290155e-06	4.17675707534e-06	1.06035200227e-06	1.93500060125e-06	1.06566919451e-06	6.54231055012e-06	5.49798497749e-06	2.79445699254e-06	5.48195854784e-06	7.61052686705e-06	2.10438287298e-08	5.23740887077e-06	4.12228089928e-06	4.77847804357e-06	8.74648598977e-07	3.3549351617e-06	8.74648598977e-07	3.00321691818e-06	6.61214543376e-07	1.06536940136e-06	1.72624067561e-06	5.01739908632e-09	4.1877661059e-06	9.60423944712e-06	4.82793682055e-06	5.47848608182e-06	4.12729829836e-06	6.30030799546e-06	2.12856831921e-06	6.54762774236e-06	3.19423751372e-06	1.60264296435e-08	4.41026976488e-06	6.81915102976e-07	1.07637843192e-06	2.13358571829e-06	5.01739908632e-09	4.78816957261e-06	1.7218663388e-06	5.48195854784e-06	1.0706865936e-06	8.29402057554e-06	5.23209167853e-06	4.17173967626e-06	5.48697594693e-06	5.18795009379e-06	7.52165743887e-06	6.5619714429e-07	4.41558695712e-06	1.06566919451e-06	4.12228089928e-06	1.54053727231e-06	3.36594419225e-06	4.0061149069e-06	5.48195854784e-06	6.65888673332e-07	4.13830732892e-06	4.99692949826e-06	6.65888673332e-07	3.18892032148e-06	6.70906072419e-07	1.60264296435e-08	8.9067502862e-07	1.06035200227e-06	7.47219866189e-06	6.14784722117e-06	4.01580643594e-06
AKT2	9.0638826673e-06	9.06679285476e-06	5.79645557558e-06	3.67467947618e-08	4.21088613868e-08	2.39135546079e-06	2.59251091934e-08	9.04711083968e-06	0.904868004194	4.1206716883e-08	3.82965294268e-08	1.24689827821e-05	3.42811503653e-06	0.90486796335	0.904877004217	2.54328422381e-08	0.904871406384	0.90486796335	0.904877019136	2.38270634055e-06	2.61032932582e-08	1.08822301408e-06	1.0935850807e-06	3.43435813065e-06	1.61837521935e-08	9.05705149776e-06	2.30149217371e-08	0.904867994452	0.90486799355	2.37916222462e-06	0.904867978269	0.90486798909	2.15247018098e-08	3.45112995827e-06	1.07740132851e-06	1.1033264377e-06	9.04086774556e-06	0.904867969593	9.04086774556e-06	9.05168943113e-06	3.21682033135e-08	2.24268463136e-08	2.38452429124e-06	6.24309412011e-09	3.44339664422e-06	0.90486905567	3.45404014572e-06	0.904867974171	1.08364442263e-06	3.4389367221e-06	1.08216855685e-08	0.904868001284	3.38366073056e-08	1.52816076897e-08	0.904867979534	2.38362214674e-06	3.14653598831e-08	1.70647796886e-08	6.24309412011e-09	3.44574186756e-06	4.89400309305e-08	0.904867978269	2.92580158572e-08	4.50551636504e-06	3.44429878872e-06	3.42811503653e-06	0.904867984512	1.10041625025e-06	0.904871391465	2.59251091934e-08	0.904867986365	2.30149217371e-08	1.07740132851e-06	1.14092082846e-05	0.904867978631	0.904867989275	0.904867978269	2.36834053905e-06	1.0926829362e-06	1.01182690741e-05	2.36834053905e-06	2.70054377619e-08	2.37458363317e-06	1.52816076897e-08	9.05614935325e-06	1.61837521935e-08	0.904869040751	0.904870346609	0.90487033169
AKT3	1.40359181285e-08	2.30243969984e-08	2.28338160968e-08	2.91399696346e-08	3.1131512542e-08	3.27703180206e-08	2.05789350999e-08	1.12087428803e-08	0.904937554434	2.19166920816e-08	1.29282132117e-08	4.09941620481e-09	1.65395430628e-09	0.904937531601	0.904937534047	1.18356342772e-08	0.904937535509	0.904937531601	0.904937536301	2.29984360885e-08	9.8987915164e-09	8.69430548428e-07	8.71422091336e-07	1.0417235288e-08	1.05525774421e-08	1.29980393406e-08	1.159045623e-08	0.904937544408	0.904937535193	2.97408963253e-08	0.904937533855	0.904937542416	1.01010379635e-08	1.32444105363e-08	8.60869513894e-07	8.81448448993e-07	2.44546189853e-09	0.904937540365	2.44546189853e-09	1.10064964332e-08	2.93422160816e-08	1.93158584239e-08	3.17324392327e-08	8.76328098176e-09	2.99171128799e-09	0.904938394725	2.22328894062e-08	0.904937540162	8.69632794875e-07	1.0214988841e-08	8.56103453469e-09	0.904937545446	2.01514907647e-08	1.33775698171e-09	0.904937542154	2.25176187723e-08	1.18903344238e-08	1.73243155165e-08	8.76328098176e-09	8.82049375684e-07	3.21693913299e-08	0.904937533855	2.03537372118e-08	8.625234682e-07	1.22065317484e-08	1.65395430628e-09	0.904937542618	8.72459970124e-07	0.904937533255	2.05789350999e-08	0.904937543192	1.159045623e-08	8.60869513894e-07	2.36253236891e-08	0.904937532939	0.90493755218	0.904937533855	2.11798617906e-08	8.62207270875e-07	8.63314975792e-07	2.11798617906e-08	1.91136119768e-08	2.99431427723e-08	1.33775698171e-09	3.78321888024e-09	1.05525774421e-08	0.904938392471	0.904937555035	0.904937552781
