Drug	Spearman	p-val
901|1.5	-0.328019074256	0.162363603535
901|1.5,HN|6	0.533030995667	0.045670522715
901|1.5,NT|3	0.123007152846	0.35930598762
901|1.5,P6|20	0.150342075701	0.329523567033
901|1.5,PLX|60	0.273349228547	0.208018657527
901|1.5,RO|3.5	-0.218679382838	0.259135999107
901|1.5,SR|2.4	0.0182232819031	0.478794408349
901|1.5,ST|0.6	-0.482916970433	0.0662107133088
901|1.5,Tm|0.3	0.250570126168	0.228692613077
901|1.5,ZS|0.6	0.041002384282	0.452362432151
901|3	0.382688919966	0.122696648323
AK|10	-0.0820047685641	0.405283048711
AK|5	-0.255125946644	0.224484063078
AK|5,901|1.5	-0.132118793798	0.349291217675
AK|5,HN|6	-0.519363534239	0.0507866183181
AK|5,NT|3	-0.0455582047578	0.447093700513
AK|5,P6|20	-0.441914586151	0.0867795349497
AK|5,PLX|60	-0.150342075701	0.329523567033
AK|5,RO|3.5	-0.100228050467	0.384681222045
AK|5,SR|2.4	-0.369021458538	0.132033024362
AK|5,ST|0.6	-0.296128330926	0.188295929635
AK|5,Tm|0.3	-0.264237587595	0.216176780915
AK|5,ZS|0.6	0.00455582047578	0.49469667627
HN|12	-0.0956722299914	0.389808681032
HN|6	-0.123007152846	0.35930598762
HN|6,NT|3	-0.141230434749	0.33936197085
HN|6,RO|3.5	-0.268793408071	0.212078874997
HN|6,SR|2.4	0.355353997111	0.141758876359
HN|6,Tm|0.3	-0.141230434749	0.33936197085
NT|3	-0.241458485216	0.237217380376
NT|3,RO|3.5	-0.574033379949	0.0323947943703
NT|3,SR|2.4	-0.373577279014	0.128877477405
NT|3,Tm|0.3	0.164009537128	0.314947649348
NT|6	-0.214123562362	0.263619874071
P6|20	0.123007152846	0.35930598762
P6|20,HN|6	0.25968176712	0.220311979412
P6|20,NT|3	-0.305239971877	0.180683187799
P6|20,RO|3.5	-0.337130715208	0.155326178873
P6|20,SR|2.4	-0.510251893288	0.0543969742877
P6|20,ST|0.6	0.109339691419	0.374476600806
P6|20,Tm|0.3	-0.769933660407	0.00278729065078
P6|40	0.405468022345	0.108007893263
PLX|120	0.29157251045	0.192162178925
PLX|60	-0.300684151402	0.184469495262
PLX|60,HN|6	0.460137868054	0.0772091970623
PLX|60,NT|3	0.0683373071367	0.420880125698
PLX|60,P6|20	0.0956722299914	0.389808681032
PLX|60,RO|3.5	0.0273349228547	0.468207010665
PLX|60,SR|2.4	0.328019074256	0.162363603535
PLX|60,ST|0.6	-0.154897896177	0.324640062978
PLX|60,Tm|0.3	-0.341686535684	0.15187061772
RO|3.5	-0.0364465638063	0.457638069275
RO|3.5,Tm|0.3	0.236902664741	0.241532704039
RO|7	-0.309795792353	0.176937306872
RY|2	-0.646926507561	0.0157230170164
RY|2,901|1.5	-0.314351612829	0.173232139653
RY|2,AK|5	-0.678817250892	0.0108182892383
RY|2,HN|6	-0.323463253781	0.16594503229
RY|2,NT|3	-0.287016689974	0.196067918858
RY|2,P6|20	-0.400912201869	0.110858205267
RY|2,PLX|60	-0.159453716652	0.319781213042
RY|2,RO|3.5	-0.323463253781	0.16594503229
RY|2,SR|2.4	-0.141230434749	0.33936197085
RY|2,ST|0.6	-0.482916970433	0.0662107133088
RY|2,Tm|0.3	-0.687928891843	0.00964554277545
RY|2,ZS|0.6	-0.683373071367	0.0102199301496
SR|2.4	-0.806380224213	0.0013574010704
SR|2.4,RO|3.5	-0.350798176635	0.145086787891
SR|2.4,Tm|0.3	-0.0865605890399	0.400110317358
SR|4.8	0.00455582047578	0.49469667627
ST|0.6	-0.041002384282	0.452362432151
ST|0.6,HN|6	0.309795792353	0.176937306872
ST|0.6,NT|3	-0.405468022345	0.108007893263
ST|0.6,RO|3.5	-0.574033379949	0.0323947943703
ST|0.6,SR|2.4	-0.0136674614273	0.484093110454
ST|0.6,Tm|0.3	-0.747154558028	0.00411282294195
ST|1.2	0.0683373071367	0.420880125698
Tm|0.3	0.446470406627	0.0843220966686
Tm|0.6	-0.309795792353	0.176937306872
ZS|0.6	-0.423691304248	0.097044277257
ZS|0.6,HN|6	-0.136674614273	0.344315568806
ZS|0.6,NT|3	-0.0501140252336	0.441832634063
ZS|0.6,P6|20	0.145786255225	0.334431085413
ZS|0.6,PLX|60	-0.0592256661852	0.431336523364
ZS|0.6,RO|3.5	0.29157251045	0.192162178925
ZS|0.6,SR|2.4	0.674261430416	0.011441159394
ZS|0.6,ST|0.6	-0.555810098045	0.037920804382
ZS|0.6,Tm|0.3	0.218679382838	0.259135999107
ZS|1.2	0.0227791023789	0.473498785728
