	901|1.5,Tm|0.3	P6|20,Tm|0.3	NT|3,SR|2.4	RY|2,P6|20	PLX|60,P6|20	901|1.5,SR|2.4	P6|20	ST|0.6,Tm|0.3	ZS|0.6,P6|20	P6|20,HN|6	901|1.5,HN|6	NT|3,Tm|0.3	NT|6	AK|10	AK|5,Tm|0.3	901|1.5,PLX|60	ZS|0.6,NT|3	AK|5	ZS|0.6,Tm|0.3	P6|20,SR|2.4	RY|2,HN|6	RY|2,RO|3.5	PLX|60,RO|3.5	ST|0.6,NT|3	PLX|60	PLX|60,Tm|0.3	901|1.5	ZS|0.6,PLX|60	ZS|0.6,HN|6	RY|2,SR|2.4	AK|5,ZS|0.6	RY|2,ZS|0.6	ST|0.6,HN|6	901|1.5,NT|3	RO|3.5	P6|20,RO|3.5	Tm|0.6	AK|5,ST|0.6	Tm|0.3	RY|2,Tm|0.3	P6|20,ST|0.6	PLX|60,ST|0.6	PLX|60,SR|2.4	ST|1.2	HN|6,NT|3	ZS|0.6,RO|3.5	P6|20,NT|3	RY|2,AK|5	ST|0.6,RO|3.5	RY|2,NT|3	RY|2	901|1.5,ZS|0.6	RY|2,901|1.5	HN|6	AK|5,PLX|60	HN|6,SR|2.4	PLX|60,HN|6	RY|2,ST|0.6	ST|0.6	SR|2.4,RO|3.5	901|1.5,P6|20	ZS|1.2	901|1.5,ST|0.6	NT|3,RO|3.5	PLX|60,NT|3	NT|3	ZS|0.6,ST|0.6	901|1.5,RO|3.5	AK|5,NT|3	P6|40	AK|5,901|1.5	901|3	RO|7	SR|2.4,Tm|0.3	AK|5,HN|6	AK|5,P6|20	ZS|0.6	SR|4.8	HN|6,RO|3.5	RO|3.5,Tm|0.3	SR|2.4	RY|2,PLX|60	ST|0.6,SR|2.4	HN|12	HN|6,Tm|0.3	PLX|120	AK|5,RO|3.5	ZS|0.6,SR|2.4	AK|5,SR|2.4
ABL1	0.0198991501445	0.0232314729567	0.030322050734	0.0410657586751	0.024452270406	0.0311526432931	0.0205786191748	0.00409161322328	0.0367101599367	0.0215841082288	0.0182517854166	0.0190685575855	0.0164157038035	0.00465596912447	0.00730882290637	0.0184426467358	0.0325472445654	0.00465596912447	0.0187843945438	0.0301401772777	0.0214926285543	0.0418521818214	0.0252386935523	0.0178544632449	0.00387365123125	0.00652650501315	0.0172462963626	0.0200051919931	0.0171370298159	0.0343934864308	0.0161315407619	0.0366186802622	0.00244424849534	0.0336620001662	0.0213650423211	0.0419436614959	0.0026528537819	0.00609472856584	0.0026528537819	0.0231399932822	0.0220173786162	0.00531241067262	0.0177799981617	0.00143875944138	0.0174211928575	0.037496583083	0.0369943229783	0.0251431086248	0.0228038017624	0.0369028433039	0.0204871395003	0.0333778371245	0.0377334358629	0.00100548905396	0.00852962035571	0.0149118359844	0.00487914028521	0.0219258989417	0.00143875944138	0.0352713892515	0.0378249155374	0.0161315407619	0.018685055804	0.0377807461246	0.0202893550348	0.0164157038035	0.0175703002033	0.0386113386837	0.021071672928	0.0205786191748	0.0219022654871	0.0172462963626	0.0213650423211	0.0165592007124	0.00566145817843	0.0252345882993	0.0161315407619	0.0139063469305	0.022370531375	0.024017896103	0.0139063469305	0.0243607907316	0.0153451063718	0.00100548905396	0.00365834283587	0.00387365123125	0.0260210114455	0.0300378876923	0.0185623160549
ACACA	0.00156107351888	0.00145444942593	0.00155490885043	0.00118565000619	0.00299574938252	0.00245130730245	0.0011350920593	0.000422773459749	0.00179833424212	0.00114127256378	0.00124789665673	0.000664675066867	0.000345317700239	0.000358510418894	0.000677867785522	0.00281575076976	0.00100855988306	0.000358510418894	0.000982599549448	0.00132665762645	5.67384513663e-05	0.000437804743381	0.00224790411971	0.00044873379336	0.00186065732322	0.00218001468984	0.00124171615225	0.00252389950604	0.000669422687299	0.00126014909708	0.000663242182821	0.000713800129709	0.000109596597599	0.00158703385249	0.000387246796493	0.00152233885579	0.000319357366628	0.000461926512015	0.000319357366628	0.000369915313516	0.00123850815242	0.00196407341634	0.00307024847341	0.000103416093121	0.000351498204717	0.00105048897931	0.00148040975954	0.000409068365782	0.000490662889614	0.000395875647127	5.05579468881e-05	0.00190495833507	0.00129227409914	6.1805044782e-06	0.00221916774211	0.00121577165467	0.00186683782769	0.000153974040009	0.000103416093121	0.00159683794669	0.00237680821155	0.000663242182821	0.00134513224537	0.000732564496732	0.00220597502345	0.000345317700239	0.000766658275941	0.00162896294874	0.000703828119133	0.0011350920593	0.00160022657114	0.00124171615225	0.000387246796493	0.00152894851682	0.000364690923372	0.0014936024782	0.000663242182821	0.0012095911502	0.000393427300971	0.000706604163121	0.0012095911502	0.0019112152701	0.00131300724332	6.1805044782e-06	0.000325537871106	0.00186065732322	0.000745757215387	0.00187283333302	0.00156810156909
ACACB	0.00330598983252	0.0362607338406	0.0235521423145	0.0375325803941	0.0374253440666	0.0218551353264	0.0357721306253	0.000946008356309	0.0846806879806	0.0372041043246	0.00424936031653	0.0050029968207	0.00451439360542	0.00167274529708	0.00216134851235	0.00327857986252	0.0534229509607	0.00167274529708	0.0493971605705	0.0528465185145	0.00319242346808	0.00782172303425	0.0077144867067	0.00497179874646	0.00165321344125	0.00214181665652	0.00281738661725	0.0505617707965	0.0503405310545	0.0207981984779	0.0489085573553	0.0506690071241	0.00188937884031	0.00733178022267	0.00606127326545	0.0418334038908	0.000488603215276	0.00213015043811	0.000488603215276	0.00224905298407	0.0362295357664	0.00211061858228	0.0206909621504	0.000457405141032	0.0059463673047	0.0549698306207	0.0402865242308	0.00343319506588	0.00651867840649	0.00627484337422	0.0017604497688	0.0517259439725	0.00457783638605	0.00143197369928	0.00332595873832	0.0204697224084	0.00308518714052	0.00221785490983	0.000457405141032	0.0250990219746	0.0385895172426	0.0489085573553	0.00327479175828	0.0105756668709	0.00616760704667	0.00451439360542	0.0493659624963	0.0088786598827	0.0061871389025	0.0357721306253	0.00449013191433	0.00281738661725	0.00606127326545	0.0195263519244	0.00310471899636	0.0374448759224	0.0489085573553	0.0190377487091	0.00749324696473	0.00654987648073	0.0190377487091	0.00341366321004	0.0194951538502	0.00143197369928	0.00192057691456	0.00165321344125	0.00773401856253	0.0679463060644	0.0207104940062
ACTB	0.0089681920506	0.0284497211144	0.00872583778943	0.0292605182443	0.0352260466774	0.0144002000292	0.0275085625888	0.00359167320618	0.0319516895219	0.0275764634542	0.00809493439041	0.0032938298108	0.00235267128516	0.00129324205186	0.00223440057751	0.00938287698534	0.00679579821823	0.00129324205186	0.00538428545871	0.0290089855455	0.00181985652095	0.00657541323567	0.0125409416688	0.0050031859657	0.00771748408861	0.00865864261425	0.00802703352496	0.0121606110217	0.00451102779852	0.00812512215976	0.00444312693306	0.00619508258856	0.00271841554599	0.0103797048101	0.00482345758017	0.032332020169	0.000941158525642	0.00394375673241	0.000941158525642	0.00269311418114	0.0301590772693	0.0103679987692	0.0140906505929	0.00265051468054	0.00242057215061	0.00926658451324	0.029861233874	0.00304519770736	0.00747397226072	0.00410462694066	0.0017519556555	0.012470160458	0.00977898918045	6.79008654531e-05	0.00901072614047	0.00644106736972	0.00778538495406	0.00440247033604	0.00265051468054	0.0111966240844	0.0355355961137	0.00444312693306	0.0106775482055	0.00717612886534	0.0100701553738	0.00235267128516	0.00709364161361	0.0128504911051	0.00364591333703	0.0275085625888	0.00932027557682	0.00802703352496	0.00482345758017	0.00731432502991	0.00136114291732	0.0288018046407	0.00444312693306	0.00637316650426	0.00489135844563	0.00576461610582	0.00637316650426	0.0094694397441	0.00902368118481	6.79008654531e-05	0.0010090593911	0.00771748408861	0.00611669963204	0.0108162934373	0.00766640855613
AGFG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKT1	0.0195661861167	0.0212420716119	0.0214775194724	0.0114419232558	0.0219412483426	0.0180910156103	0.00944549070862	0.025265907181	0.0544349582242	0.00966446433884	0.00798857884364	0.0229526899787	0.0111561090754	0.03992099808	0.0517175789833	0.0172189252066	0.056145576591	0.03992099808	0.0567860484189	0.0128906469197	0.00221540617737	0.0296776076569	0.0401769327437	0.0246254353532	0.012495757634	0.0242923385373	0.00776960521343	0.0574852251495	0.0452084411458	0.0123178429441	0.0449894675156	0.0469859000627	0.013688299908	0.0189257142889	0.0276811751097	0.0371266658183	0.0117965809033	0.0533903243577	0.0117965809033	0.0137930134504	0.0229148169864	0.0259650839117	0.0228171680309	0.0134693262777	0.0113750827057	0.0726706426253	0.0206015997841	0.0419174306272	0.0411505013875	0.0131525416226	0.00199643254716	0.052759072729	0.00976603776059	0.000218973630213	0.052416755714	0.0105403840271	0.0127147312642	0.0154657588249	0.0134693262777	0.0380025855066	0.0172150959221	0.0449894675156	0.0212389314912	0.0388372841852	0.0236518667094	0.0111561090754	0.0584587937933	0.0354507803231	0.0510771071555	0.00944549070862	0.0476906032934	0.00776960521343	0.0276811751097	0.0221179913002	0.0401399717102	0.0493664887886	0.0449894675156	0.0103214103969	0.0279001487399	0.039477756013	0.0103214103969	0.0144921901811	0.0237907366746	0.000218973630213	0.0120155545335	0.012495757634	0.0676021731897	0.0553108779125	0.0502424084769
AKT1S1	0.0492295703148	0.0508467538389	0.00646043755609	0.00338686160002	0.00654728620686	0.00501892745145	0.00312510764133	0.0530364339501	0.0255827640553	0.00314631867763	0.00152913515352	0.0506710804194	0.00294943422185	0.0218643899216	0.0695860361192	0.00426173727955	0.0254070906358	0.0218643899216	0.0701793026115	0.00374429295531	0.000282964994986	0.00263519878141	0.00579562338825	0.00826422197434	0.00342217856552	0.0511438247631	0.00150792411722	0.0258798349795	0.0224788674503	0.00377275729292	0.022457656414	0.0227194103727	0.00533599878879	0.00445735833907	0.00237344482272	0.00549855246406	0.0477216461976	0.0271791776741	0.0477216461976	0.0479834001563	0.00843989539382	0.00873696631801	0.00693318189976	0.00531478775249	0.00297064525815	0.0248311012367	0.00607454186318	0.0221261438803	0.00768823257521	0.00321118818053	0.000261753958686	0.0239655805312	0.0017696780759	2.12110362995e-05	0.0252865684872	0.00353221437054	0.00344338960182	0.00557654171118	0.00531478775249	0.00588444815696	0.00463303175855	0.022457656414	0.00682271186971	0.00532287904457	0.00637161278737	0.00294943422185	0.0277724441665	0.00388136893994	0.0248138241435	0.00312510764133	0.0233723140389	0.00150792411722	0.00237344482272	0.0512326495318	0.0218856009579	0.024989497563	0.022457656414	0.00351100333424	0.00239465585902	0.0500950910203	0.00351100333424	0.00368393252421	0.00882579108673	2.12110362995e-05	0.0477428572339	0.00342217856552	0.0242378347444	0.0259686597482	0.0253753932559
AKT2	0.0048907107328	0.00481467074752	0.00573948381809	0.00567440747536	0.00622105170359	0.00774980655151	0.00342966558713	0.00282415195612	0.701429730385	0.00348239804491	0.00355843803018	0.00288038799937	0.00149538283898	0.695454327574	0.696839332735	0.0047986003194	0.699495447637	0.695454327574	0.699385069958	0.0045798797973	0.00229747434601	0.00732600662001	0.00787265084824	0.0029345296347	0.00279138611646	0.00417639127686	0.0035057055724	0.700791450914	0.698052797256	0.00648884286734	0.698000064798	0.700244806686	0.0014918792535	0.00500108841139	0.00508126473177	0.0085109303189	0.00138500516039	0.69689347437	0.00138500516039	0.00362974704862	0.00486881238285	0.00423053291219	0.00703548709557	0.00143914679572	0.00154811529676	0.70308132953	0.00492504842611	0.697699069463	0.0065204115275	0.00374012472721	0.00224474188823	0.70150577037	0.00575044746064	5.27324577771e-05	0.698245713691	0.00429683343689	0.00284411857424	0.00368388868396	0.00143914679572	0.00932536571088	0.00693537115953	0.698000064798	0.00494485236813	0.00657664757076	0.00428676895544	0.00149538283898	0.699439211594	0.00858697030418	0.696949710413	0.00342966558713	0.698960033147	0.0035057055724	0.00508126473177	0.0056291061395	0.695507060032	0.698883993162	0.698000064798	0.00424410097911	0.00513399718955	0.00646626989217	0.00424410097911	0.0050361280047	0.00568324777483	5.27324577771e-05	0.00143773761817	0.00279138611646	0.700535592306	0.702244165777	0.699698428553
AKT3	0.00235511859393	0.00304709549732	0.00311121116709	0.00113374890539	0.00138316757149	0.00170549315965	0.00110892734671	0.00409455440392	0.909461727511	0.00111590613146	0.000423929228068	0.00376083660137	0.00182266845076	0.908150469939	0.91008863809	0.00052687225201	0.910175468615	0.908150469939	0.910290968315	0.00132116441009	3.18003434267e-05	0.000338555041755	0.000587973707854	0.00397905470408	0.000274240224776	0.00221240837539	0.000416950443319	0.908627040389	0.908359778949	0.001313364275	0.908352800164	0.908377621723	0.00216336503806	0.00223961889408	0.000313733483078	0.00142266082979	0.00193816815061	0.910306856192	0.00193816815061	0.00196298970929	0.00326531360003	0.00243062647809	0.0015627829411	0.00215638625331	0.00182964723551	0.908666533647	0.00293159579748	0.908175291498	0.00247011973639	0.00184749000944	2.48215586769e-05	0.908769750607	0.000441772001996	6.97878474978e-06	0.908424710164	0.00129552150108	0.000281219009526	0.00218120781199	0.00215638625331	0.00160227619941	0.00152587779003	0.908352800164	0.00257333669663	0.00213640193384	0.00209690867554	0.00182266845076	0.910509186417	0.000730683926397	0.90997313839	0.00110892734671	0.908567420382	0.000416950443319	0.000313733483078	0.00322671086694	0.908157448724	0.909259397286	0.908352800164	0.00128854271633	0.000320712267828	0.00225190163369	0.00128854271633	0.000299061783453	0.00344492896964	6.97878474978e-06	0.00194514693536	0.000274240224776	0.908464203422	0.90964134288	0.909439012655
