Drug Code	Drug name	Target	HGNC target	Downstream effector	HGNC downstream	Dose 1 (nM)	Dose 2 (nM)
AK	AKTi 1/2 	AKT	"AKT1,AKT2,AKT3"	AKTpS473	no_gene	5	10
Tm	Temsirolimus	mTOR	MTOR	S6pS240	RPS6	0.3	0.6
ZS	ZSTK474	PI3K	"PIK3CA,PIK3CB,PIK3R1"	AKTpS473	"AKT1,AKT2,AKT3"	600	1200
901	PD0325901	MEK1/2	"MAP2K1,MAP2K2"	MAPK1pT202	"MAPK1,MAPK3"	1.5	3
ST	Stattic	STAT3	STAT3	STAT3pY705	no_gene	600	1200
HN	HNHA	HDAC	no_gene	P27/Kip1	CDKN1B	"6,000"	"12,000"
PLX	PLX4720	BRAFV600E	BRAF	MAPK1pT202	MAPK1	60	120
RO	RO-31-7549	PKC	"PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKCQ"	S6pS240	no_gene	3500	7000
RY	RY	CDK4	CDK4	Rb_pS807	RB1	2000	NA
P6	P6	JAK	JAK2	GSK3pS21	"GSK3A,GSK3B"	20	40
SR	SR	SRC	SRC	GSK3pS21	"GSK3A,GSK3B"	"2,400"	"4,800"
NT	Nutlin	MDM2	MDM2	4EBP1pS65	EIF4EBP1	"3,000"	"6,000"
