	901|1.5,Tm|0.3	P6|20,Tm|0.3	NT|3,SR|2.4	RY|2,P6|20	PLX|60,P6|20	901|1.5,SR|2.4	P6|20	ST|0.6,Tm|0.3	ZS|0.6,P6|20	P6|20,HN|6	901|1.5,HN|6	NT|3,Tm|0.3	NT|6	AK|10	AK|5,Tm|0.3	901|1.5,PLX|60	ZS|0.6,NT|3	AK|5	ZS|0.6,Tm|0.3	P6|20,SR|2.4	RY|2,HN|6	RY|2,RO|3.5	PLX|60,RO|3.5	ST|0.6,NT|3	PLX|60	PLX|60,Tm|0.3	901|1.5	ZS|0.6,PLX|60	ZS|0.6,HN|6	RY|2,SR|2.4	AK|5,ZS|0.6	RY|2,ZS|0.6	ST|0.6,HN|6	901|1.5,NT|3	RO|3.5	P6|20,RO|3.5	Tm|0.6	AK|5,ST|0.6	Tm|0.3	RY|2,Tm|0.3	P6|20,ST|0.6	PLX|60,ST|0.6	PLX|60,SR|2.4	ST|1.2	HN|6,NT|3	ZS|0.6,RO|3.5	P6|20,NT|3	RY|2,AK|5	ST|0.6,RO|3.5	RY|2,NT|3	RY|2	901|1.5,ZS|0.6	RY|2,901|1.5	HN|6	AK|5,PLX|60	HN|6,SR|2.4	PLX|60,HN|6	RY|2,ST|0.6	ST|0.6	SR|2.4,RO|3.5	901|1.5,P6|20	ZS|1.2	901|1.5,ST|0.6	NT|3,RO|3.5	PLX|60,NT|3	NT|3	ZS|0.6,ST|0.6	901|1.5,RO|3.5	AK|5,NT|3	P6|40	AK|5,901|1.5	901|3	RO|7	SR|2.4,Tm|0.3	AK|5,HN|6	AK|5,P6|20	ZS|0.6	SR|4.8	HN|6,RO|3.5	RO|3.5,Tm|0.3	SR|2.4	RY|2,PLX|60	ST|0.6,SR|2.4	HN|12	HN|6,Tm|0.3	PLX|120	AK|5,RO|3.5	ZS|0.6,SR|2.4	AK|5,SR|2.4
ABL1	0.000861278527571	0.00045638771173	0.000750213930996	0.000455555924169	0.00089375032016	0.00149612557172	0.000374782497261	0.000132300081989	0.000734150601806	0.000687526591971	0.00109241740781	0.000115366886848	3.37616723787e-05	0.000324393012945	0.000405998227414	0.000798325482848	0.000393129776923	0.000324393012945	0.000440973319014	0.000759086230645	0.000393517521618	0.00046249894492	0.000900693340911	8.44565398982e-05	0.000518967822899	0.000600573037368	0.000779673313101	0.000878335927444	0.000672112199254	0.000797225685526	0.000359368104545	0.000440141531453	0.000363438962229	0.00081343498548	0.000381725518012	0.000756508015273	8.16052144692e-05	0.000375087880464	8.16052144692e-05	0.000162378641377	0.00042547736478	0.000569662690419	0.00123542008152	5.06948675195e-05	0.000346505767088	0.000741093622557	0.00040854416964	0.000405166439853	0.000432420385531	0.000114535099287	8.07734269082e-05	0.00113904141765	0.00086044674001	0.00031274409471	0.000843360835844	0.00102919635333	0.000831711917609	0.000131468294428	5.06948675195e-05	0.00109817777663	0.00115445581036	0.000359368104545	0.000830368180621	0.000415487190391	0.000552729495278	3.37616723787e-05	0.000410062972064	0.00116139883111	0.000358154685323	0.000374782497261	0.00110406632605	0.000779673313101	0.000381725518012	0.000798057473087	0.000637137107654	0.000699175510205	0.000359368104545	0.000716452258617	0.000694469612722	0.000463330732481	0.000716452258617	0.000599741249807	0.000767147126137	0.00031274409471	0.000394349309179	0.000518967822899	0.000706118530956	0.00107582036316	0.00104084527156
ACACA	0.000234307203736	0.000476331836382	0.000492690940814	0.000463328638924	0.000557130534926	0.000634942960249	0.000409430946301	9.9855217095e-05	0.00088262503358	0.000818904902408	0.000576880269762	9.20551843015e-05	2.51542942199e-05	0.00044513469229	0.000512035582371	0.000178861575395	0.000498348381499	0.00044513469229	0.00054009497736	0.000498889934343	0.000463371648731	0.00032851936949	0.000422321265491	5.81086212333e-05	0.000147699588625	0.000214600478707	0.000167406313655	0.000620893675904	0.000882668043386	0.000521434339218	0.000473194087279	0.000527091779903	0.00044242828312	0.000192560607875	0.000274621676866	0.000684052623167	6.69008900816e-05	0.000478089019303	6.69008900816e-05	0.000120798582705	0.000442385273314	0.000180653915638	0.000615236235219	3.29543270134e-05	0.000434628250327	0.000747815764145	0.000434585240521	0.000499032384913	0.000307576003879	7.90519868436e-05	5.38976926237e-05	0.000640600400934	0.000221304006279	0.000409473956107	0.000592834280915	0.000877010602701	0.000557173544732	8.68520196371e-05	3.29543270134e-05	0.00074215832346	0.000576837259955	0.000473194087279	0.000200360640668	0.000299775971086	0.000172853882845	2.51542942199e-05	0.000506148414292	0.000442027990521	0.00047028898651	0.000409430946301	0.000612541005944	0.000167406313655	0.000274621676866	0.000534437536676	0.000854608648397	0.00085456563859	0.000473194087279	0.000467536646594	0.000684095632973	0.000341522566948	0.000467536646594	0.000201597281249	0.000500490973608	0.000409473956107	0.000476374846189	0.000147699588625	0.000719756369155	0.000940730733873	0.000912671338884
ACACB	0.000202382403092	5.62665438893e-05	6.57000709288e-05	5.40549174914e-05	0.000220121572487	0.000244184390655	3.908759348e-05	2.69491714266e-05	8.40824220534e-05	5.45052553983e-05	0.000200621114601	2.38980833661e-05	6.71913295687e-06	3.95780543609e-05	5.67570047702e-05	0.00018977709154	5.17139615302e-05	3.95780543609e-05	6.21737789826e-05	6.66048384451e-05	3.03849859296e-05	0.000119730496212	0.000285797151208	1.64893539742e-05	0.000181033979007	0.000198212929416	0.000185203452683	0.00022602880758	6.04124904916e-05	7.39482619833e-05	4.49948285733e-05	5.99621525847e-05	2.51878829356e-05	0.00019192258564	0.000104763172201	0.000143850765681	1.71789504093e-05	4.93482753783e-05	1.71789504093e-05	3.21462744206e-05	4.88578144974e-05	0.000190804200024	0.000240014916979	9.77022101733e-06	2.21367948751e-05	0.000149758000774	4.58067264369e-05	5.45453783723e-05	0.000114533393218	2.16864569682e-05	1.49673240114e-05	0.000230198281256	0.000200170776694	1.54176619183e-05	0.000220612033368	7.43985998902e-05	0.000196451640925	2.47375450287e-05	9.77022101733e-06	0.000163744110173	0.000224291046163	4.49948285733e-05	0.0001949736737	0.000111482305158	0.000187753111964	6.71913295687e-06	5.47650495907e-05	0.000289966624884	4.62971873178e-05	3.908759348e-05	0.000224781507044	0.000185203452683	0.000104763172201	7.61598883812e-05	5.49957162792e-05	7.8665647841e-05	4.49948285733e-05	5.8980937972e-05	0.000120180834119	0.00012194212261	5.8980937972e-05	0.000196001303018	6.87511589893e-05	1.54176619183e-05	3.25966123275e-05	0.000181033979007	0.000144341226562	0.000103975766545	9.85589923329e-05
ACTB	0.000750249118424	0.00114578911289	0.00101092139712	0.00129946987504	0.00165361380371	0.00160611162324	0.00103680695362	0.000340912929657	0.00144472106621	0.00177326512818	0.00137772513371	0.000155058892307	4.60767330337e-05	0.000358803229415	0.000467785388689	0.000675127308369	0.000453990845626	0.000358803229415	0.000516896271865	0.00118854725191	0.000999121095982	0.000994282556304	0.00134842648496	0.000278007503418	0.000616806850086	0.00072578900936	0.000641266959151	0.00102472096268	0.00114437228715	0.00122750758551	0.000407914112592	0.000670577034017	0.000968388944941	0.000687343692185	0.000731619634878	0.0017684265885	0.000108982159273	0.000590733999799	0.000108982159273	0.000371645080698	0.001268737724	0.00084873762047	0.00158165151417	0.000231930770384	0.000782534907591	0.00113953374747	0.00108288368665	0.000621466150841	0.000963550405262	0.000308739654459	0.000262662921425	0.00104918107174	0.000903929880576	0.000736458174557	0.000975610079502	0.00170130283864	0.00135326502464	0.000494593691809	0.000231930770384	0.00169646429896	0.00167807391277	0.000407914112592	0.000873197729535	0.000777696367912	0.00066288358312	4.60767330337e-05	0.000639844882976	0.00137288659403	0.000404879962449	0.00103680695362	0.00100007018857	0.000641266959151	0.000731619634878	0.00107382682336	0.00109526140397	0.00139561018303	0.000407914112592	0.000964844664086	0.00146807780944	0.000840601794152	0.000964844664086	0.000879469771512	0.00119677543447	0.000736458174557	0.00084544033383	0.000616806850086	0.00109042286429	0.00137275877668	0.0013236478935
AGFG1	0.00103833716628	0.00164976606941	0.00209096551017	0.00186791396526	0.00232052234256	0.00277646906458	0.00148491289874	0.000392954967656	0.00198674739103	0.00215666700645	0.00154523810333	0.000352833611872	0.000187980441203	0.000429575890444	0.000594429061113	0.00109489907516	0.000689814933498	0.000429575890444	0.000666687662963	0.00211626931272	0.00105475517424	0.00163579643636	0.00208840481366	0.00041608223819	0.000835609443826	0.00100046261449	0.000873483995615	0.00133744393612	0.00117358860001	0.00228598613549	0.000501834492295	0.000884835558819	0.000899855904699	0.00106146443682	0.00125279536983	0.00273770826857	0.000164853170669	0.000657677687431	0.000164853170669	0.000547854237193	0.00171301469573	0.00106371124081	0.00273859451279	0.000228101796987	0.000859734548915	0.00175462986213	0.00167289333994	0.000812576956968	0.00148089716682	0.000570981507727	0.000383001066524	0.00137531848791	0.00125648506214	0.000671754107712	0.00126518533427	0.00257473917668	0.00150736355154	0.000611102863511	0.000228101796987	0.0031557804388	0.00235839689435	0.000501834492295	0.0011015857926	0.00144077581104	0.00102358988503	0.000187980441203	0.000729936289282	0.00212627936545	0.000617556331647	0.00148491289874	0.00130305988606	0.000873483995615	0.00125279536983	0.00206783823963	0.00110132999816	0.00191448878918	0.000501834492295	0.00190298506897	0.00192454947755	0.0014176485405	0.00190298506897	0.00121861051035	0.00213108686595	0.000671754107712	0.000836607278381	0.000835609443826	0.00168237126028	0.00240481956126	0.00233256095941
AIM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKT1	6.3522597867e-05	5.59991958201e-05	6.43337650385e-05	5.39909780202e-05	8.46624829229e-05	0.000105831650413	4.05112597991e-05	2.35294498289e-05	0.905117162462	5.78821537253e-05	6.54055557723e-05	2.20247124928e-05	6.53677647175e-06	0.905071174094	0.90508666203	5.1899059643e-05	0.905083187979	0.905071174094	0.905092139139	6.53507576232e-05	3.08506121474e-05	9.22442508086e-05	0.000122915755711	1.45782902796e-05	4.41512231239e-05	5.96391591449e-05	4.8034661846e-05	0.905120802426	0.905094022096	7.12767067879e-05	0.905076651202	0.905090130921	2.54124077342e-05	5.45714383177e-05	7.87645325875e-05	0.000119275792387	1.5487936021e-05	0.905079215608	1.5487936021e-05	2.89676542421e-05	4.85527736069e-05	5.21927369318e-05	0.000101948211691	8.04151380788e-06	2.3907670398e-05	0.905155415735	4.70480362708e-05	0.905084653812	8.68060463954e-05	2.00164946929e-05	1.34797182211e-05	0.905124685864	6.15143800671e-05	1.73708939263e-05	0.905115325317	7.51678824931e-05	6.15221170502e-05	2.1521232029e-05	8.04151380788e-06	0.000136561521154	8.8545921645e-05	0.905076651202	5.60761756538e-05	8.53013090592e-05	5.06879995956e-05	6.53677647175e-06	0.905084692716	0.000126799194433	0.90507771087	4.05112597991e-05	0.905119208756	4.8034661846e-05	7.87645325875e-05	7.32849245878e-05	0.905088544988	0.905111685354	0.905076651202	5.77969885668e-05	9.61354265138e-05	9.42524686085e-05	5.77969885668e-05	5.7630941345e-05	6.58385023747e-05	1.73708939263e-05	3.28588299473e-05	4.41512231239e-05	0.905149938626	0.905134448191	0.905128971082
AKT1S1	0.000495313982003	0.000419181677205	0.000563321461634	0.000427560947442	0.000572726111893	0.000683890392317	0.000259328570912	0.000214195720389	0.000862235736332	0.000362255848651	0.000438388153449	0.00037474505132	0.000214891945026	0.000471832433607	0.000631685539901	0.000349566233984	0.000817799110447	0.000471832433607	0.000762760271714	0.000397367347866	0.00027115965427	0.000677730350199	0.00082289551465	0.000269234559122	0.000313397540981	0.000473250647275	0.000335460875709	0.000916304706402	0.00070583444316	0.000516661893138	0.00060290716542	0.00077113954195	0.000157269891835	0.000550352820736	0.000509497973669	0.00076882654458	0.000159853106294	0.000526175047702	0.000159853106294	0.000328085482824	0.000313671185007	0.000367740155077	0.000661827057589	5.43426140952e-05	0.000317819222766	0.00111240513909	0.000474220515938	0.000640064810137	0.000563840587764	0.000383124321557	0.00016823237653	0.000938368041129	0.000503693252239	0.00010292727774	0.000785229974588	0.000451356794347	0.000416324818721	0.000222574990625	5.43426140952e-05	0.000857927490276	0.000594789446621	0.00060290716542	0.000389803489804	0.000724389918695	0.000528289486008	0.000214891945026	0.000657249779515	0.000844958849378	0.000686724378633	0.000259328570912	0.000807293309316	0.000335460875709	0.000509497973669	0.000508282622901	0.000574759711347	0.000731161004519	0.00060290716542	0.000348429516608	0.000612425251408	0.000669351079962	0.000348429516608	0.000481629917512	0.000402772130703	0.00010292727774	0.000262780384033	0.000313397540981	0.000981330407276	0.000951336682028	0.000820261950215
AKT2	0.0012409421888	0.00123739472184	0.000819940361092	0.000438608170807	0.000608828752822	0.000943755417845	0.000319005862371	0.000986943326804	0.371134319096	0.000452937970972	0.000456485437922	0.00111712713204	0.000198738272568	0.370722134303	0.371640523162	0.000350918362502	0.371014051506	0.370722134303	0.371733702093	0.000712066117901	0.000253534417037	0.0008835618992	0.00105378248122	0.000267292739899	0.000289822890451	0.00120821174993	0.000322553329322	0.371105136124	0.370949245343	0.00074080439696	0.370815313234	0.370934915542	0.000202486575931	0.00052129160189	0.000763959590764	0.00108296545314	0.000918388859474	0.37079068877	0.000918388859474	0.00103799116791	0.000387560329701	0.000358377357782	0.000911024978975	6.85544673303e-05	0.000332670381169	0.371579272825	0.000517744134939	0.370841736611	0.000832514058095	0.000318340581004	0.000119602308436	0.371137866563	0.000442155637758	0.000133932108601	0.371011957193	0.000755134197124	0.000423754999052	0.000188156775766	6.85544673303e-05	0.00138516167929	0.000641559191692	0.370815313234	0.000391107796652	0.000962697863332	0.00048856116302	0.000198738272568	0.370883867701	0.00108651292009	0.370920872575	0.000319005862371	0.371044687632	0.000322553329322	0.000763959590764	0.001539590948	0.370856066411	0.371041140165	0.370815313234	0.000621202088523	0.000897891699365	0.00168234845024	0.000621202088523	0.000409425198887	0.000689756555854	0.000133932108601	0.00105232096807	0.000289822890451	0.371486093893	0.371436515322	0.371343336391
AKT3	9.87032321423e-05	9.67990116622e-05	9.15733857378e-05	9.25759731186e-05	0.00012878584378	0.000149584545285	6.57345758376e-05	4.94811073687e-05	0.82137101582	8.43236628369e-05	8.6227883317e-05	4.06920725956e-05	9.62763677099e-06	0.821289675939	0.821320740375	7.25881827406e-05	0.821314908881	0.821289675939	0.82133634568	9.45586371492e-05	4.54304842804e-05	0.000205714838511	0.000241924709172	2.80443083151e-05	6.30512679425e-05	9.41157037671e-05	6.76387963177e-05	0.821368332512	0.821323870331	0.000108787146248	0.821305281244	0.821332122642	3.70057585434e-05	7.72664330887e-05	0.00017887344123	0.000244608017068	3.10644358246e-05	0.821308092611	3.10644358246e-05	5.79058331056e-05	8.41512473817e-05	8.14679394866e-05	0.000144997016909	1.84166715441e-05	2.82167237703e-05	0.821484154686	7.53622126086e-05	0.821316517337	0.000197290112774	3.6469034052e-05	2.6841397281e-05	0.821372920041	9.44801935988e-05	1.85890869993e-05	0.821352727207	0.000100534835966	8.16403549418e-05	4.52580688251e-05	1.84166715441e-05	0.000260819190197	0.000133373372155	0.821305281244	8.60554678618e-05	0.000188501078001	7.26789047135e-05	9.62763677099e-06	0.821323697916	0.000246512237548	0.821299303576	6.57345758376e-05	0.821357314736	6.76387963177e-05	0.00017887344123	0.000113010184791	0.821308265026	0.821355410515	0.821305281244	8.19457489668e-05	0.000197462528229	0.000209937877055	8.19457489668e-05	8.98926652236e-05	0.000100362420511	1.85890869993e-05	4.96535228239e-05	6.30512679425e-05	0.821468549381	0.821387226993	0.821371621688
