Drug	Spearman	p-val
901|1.5	-0.473805329481	0.0704826213033
901|1.5,HN|6	-0.182232819031	0.295878620098
901|1.5,NT|3	-0.651482328037	0.01494189158
901|1.5,P6|20	-0.610479943755	0.0230301994055
901|1.5,PLX|60	0.0956722299914	0.389808681032
901|1.5,RO|3.5	0.55125427757	0.0393946421168
901|1.5,SR|2.4	0.20501192141	0.272683712578
901|1.5,ST|0.6	0.00455582047578	0.49469667627
901|1.5,Tm|0.3	-0.523919354715	0.0490416306821
901|1.5,ZS|0.6	-0.109339691419	0.374476600806
901|3	0.373577279014	0.128877477405
AK|10	0.241458485216	0.237217380376
AK|5	-0.186788639507	0.29118068742
AK|5,901|1.5	-0.337130715208	0.155326178873
AK|5,HN|6	-0.41002384282	0.105201349545
AK|5,NT|3	-0.296128330926	0.188295929635
AK|5,P6|20	-0.657541101567	0.0139458895541
AK|5,PLX|60	0.0546698457094	0.436579990116
AK|5,RO|3.5	0.0637814866609	0.426102985643
AK|5,SR|2.4	-0.569477559473	0.0337216786584
AK|5,ST|0.6	-0.223235203313	0.254684844405
AK|5,Tm|0.3	-0.350798176635	0.145086787891
AK|5,ZS|0.6	-0.041002384282	0.452362432151
HN|12	-0.236902664741	0.241532704039
HN|6	-0.127562973322	0.354288248987
HN|6,NT|3	-0.141230434749	0.33936197085
HN|6,RO|3.5	0.11845133237	0.364343752006
HN|6,SR|2.4	0.241458485216	0.237217380376
HN|6,Tm|0.3	-0.387244740441	0.119671539924
NT|3	0.0546698457094	0.436579990116
NT|3,RO|3.5	0.273349228547	0.208018657527
NT|3,SR|2.4	0.182232819031	0.295878620098
NT|3,Tm|0.3	-0.610479943755	0.0230301994055
NT|6	-0.209567741886	0.268135953746
P6|20	0.246014305692	0.232937199276
P6|20,HN|6	0.332574894732	0.158823911126
P6|20,NT|3	0.0	0.5
P6|20,RO|3.5	-0.0911164095156	0.394951953018
P6|20,SR|2.4	0.227791023789	0.250266915354
P6|20,ST|0.6	-0.100228050467	0.384681222045
P6|20,Tm|0.3	-0.719819635174	0.0062504525907
P6|40	0.437358765675	0.0892803894046
PLX|120	0.154897896177	0.324640062978
PLX|60	-0.282460869498	0.20001281297
PLX|60,HN|6	0.145786255225	0.334431085413
PLX|60,NT|3	-0.359909817587	0.138473850137
PLX|60,P6|20	-0.473805329481	0.0704826213033
PLX|60,RO|3.5	0.0774489480883	0.410469417261
PLX|60,SR|2.4	-0.296128330926	0.188295929635
PLX|60,ST|0.6	-0.478361149957	0.0683255414118
PLX|60,Tm|0.3	-0.569477559473	0.0337216786584
RO|3.5	-0.323463253781	0.16594503229
RO|3.5,Tm|0.3	0.337130715208	0.155326178873
RO|7	0.0592256661852	0.431336523364
RY|2	-0.66970560994	0.012089077911
RY|2,901|1.5	-0.25968176712	0.220311979412
RY|2,AK|5	-0.542142636618	0.0424557638021
RY|2,HN|6	-0.223235203313	0.254684844405
RY|2,NT|3	-0.159453716652	0.319781213042
RY|2,P6|20	-0.519363534239	0.0507866183181
RY|2,PLX|60	-0.642370687085	0.0165323536259
RY|2,RO|3.5	-0.391800560917	0.116690062834
RY|2,SR|2.4	-0.123007152846	0.35930598762
RY|2,ST|0.6	-0.414579663296	0.10243857556
RY|2,Tm|0.3	-0.487472790909	0.0641379364006
RY|2,ZS|0.6	-0.414579663296	0.10243857556
SR|2.4	0.00911164095156	0.489394123011
SR|2.4,RO|3.5	0.0592256661852	0.431336523364
SR|2.4,Tm|0.3	-0.328019074256	0.162363603535
SR|4.8	-0.610479943755	0.0230301994055
ST|0.6	0.00455582047578	0.49469667627
ST|0.6,HN|6	0.0364465638063	0.457638069275
ST|0.6,NT|3	-0.369021458538	0.132033024362
ST|0.6,RO|3.5	0.154897896177	0.324640062978
ST|0.6,SR|2.4	-0.164009537128	0.314947649348
ST|0.6,Tm|0.3	-0.824603506117	0.000894729926375
ST|1.2	-0.55125427757	0.0393946421168
Tm|0.3	-0.00911164095156	0.489394123011
Tm|0.6	-0.719819635174	0.0062504525907
ZS|0.6	-0.423691304248	0.097044277257
ZS|0.6,HN|6	-0.391800560917	0.116690062834
ZS|0.6,NT|3	-0.314351612829	0.173232139653
ZS|0.6,P6|20	0.305239971877	0.180683187799
ZS|0.6,PLX|60	-0.264237587595	0.216176780915
ZS|0.6,RO|3.5	0.469249509006	0.0726821415818
ZS|0.6,SR|2.4	0.0774489480883	0.410469417261
ZS|0.6,ST|0.6	-0.806380224213	0.0013574010704
ZS|0.6,Tm|0.3	-0.287016689974	0.196067918858
ZS|1.2	-0.0501140252336	0.441832634063
