Drug	Spearman	p-val
901|1.5	0.086757991	0.399886505
"901|1.5,HN|6"	0.557077626	0.037517403
"901|1.5,NT|3"	-0.264840183	0.215632605
"901|1.5,P6|20"	-0.01826484	0.478746086
"901|1.5,PLX|60"	0.187214612	0.290742896
"901|1.5,RO|3.5"	0.214611872	0.263137726
"901|1.5,SR|2.4"	0.210045662	0.267660706
"901|1.5,ST|0.6"	0.694063927	0.008908974
"901|1.5,Tm|0.3"	0.109589041	0.374198324
"901|1.5,ZS|0.6"	0.100456621	0.384424401
901|3	0.680365297	0.010612247
AK|10	0.684931507	0.010020776
AK|5	-0.136986301	0.343975957
"AK|5,901|1.5"	0.164383562	0.314551965
"AK|5,HN|6"	-0.109589041	0.374198324
"AK|5,NT|3"	-0.068493151	0.420701662
"AK|5,P6|20"	0.249428571	0.229752816
"AK|5,PLX|60"	-0.255707763	0.223949213
"AK|5,RO|3.5"	-0.059360731	0.43118122
"AK|5,SR|2.4"	0.150684932	0.329155207
"AK|5,ST|0.6"	-0.178082192	0.300183394
"AK|5,Tm|0.3"	-0.328767123	0.161779529
"AK|5,ZS|0.6"	0.369863014	0.131446866
HN|12	0.02283105	0.473438423
HN|6	-0.01369863	0.484056851
"HN|6,NT|3"	0.01369863	0.484056851
"HN|6,RO|3.5"	0.424657534	0.096482503
"HN|6,SR|2.4"	0.109589041	0.374198324
"HN|6,Tm|0.3"	-0.118721461	0.364044501
NT|3	-0.310502283	0.176360056
"NT|3,RO|3.5"	0.547945205	0.04048876
"NT|3,SR|2.4"	0.196347032	0.281418763
"NT|3,Tm|0.3"	0.242009132	0.236698173
NT|6	0.630136986	0.018849205
P6|20	-0.598173516	0.025950208
"P6|20,HN|6"	-0.283105023	0.199452676
"P6|20,NT|3"	0.242009132	0.236698173
"P6|20,RO|3.5"	0.388127854	0.119090191
"P6|20,SR|2.4"	-0.091324201	0.394717034
"P6|20,ST|0.6"	-0.136986301	0.343975957
"P6|20,Tm|0.3"	0.200913242	0.276801768
P6|40	-0.557077626	0.037517403
PLX|120	0.223744292	0.254189506
PLX|60	0.123287671	0.358996442
"PLX|60,HN|6"	0.228310502	0.249765293
"PLX|60,NT|3"	0.397260274	0.113174599
"PLX|60,P6|20"	0.520547945	0.050329122
"PLX|60,RO|3.5"	0.196347032	0.281418763
"PLX|60,SR|2.4"	0.305936073	0.180108217
"PLX|60,ST|0.6"	0.127853881	0.353968542
"PLX|60,Tm|0.3"	-0.03652968	0.457541763
RO|3.5	0.210045662	0.267660706
"RO|3.5,Tm|0.3"	0.173515982	0.30494581
RO|7	0.187214612	0.290742896
RY|2	-0.068493151	0.420701662
"RY|2,901|1.5"	-0.0456621	0.446973633
"RY|2,AK|5"	-0.287671233	0.195504358
"RY|2,HN|6"	-0.159817352	0.319394472
"RY|2,NT|3"	-0.488584475	0.063638508
"RY|2,P6|20"	-0.01826484	0.478746086
"RY|2,PLX|60"	-0.465753425	0.074398919
"RY|2,RO|3.5"	0.00913242	0.489369941
"RY|2,SR|2.4"	0.063926941	0.425936066
"RY|2,ST|0.6"	0.191780822	0.286065995
"RY|2,Tm|0.3"	-0.127853881	0.353968542
"RY|2,ZS|0.6"	-0.319634703	0.16898684
SR|2.4	-0.109589041	0.374198324
"SR|2.4,RO|3.5"	0.479452055	0.067815299
"SR|2.4,Tm|0.3"	-0.073059361	0.415478759
SR|4.8	0.191780822	0.286065995
ST|0.6	0.378995434	0.125181138
"ST|0.6,HN|6"	-0.141552511	0.339012625
"ST|0.6,NT|3"	0.324200913	0.16536232
"ST|0.6,RO|3.5"	0.739726027	0.004630502
"ST|0.6,SR|2.4"	0.073059361	0.415478759
"ST|0.6,Tm|0.3"	0.260273973	0.219772356
ST|1.2	0.063926941	0.425936066
Tm|0.3	0.141552511	0.339012625
Tm|0.6	0.356164384	0.141171398
ZS|0.6	0.196347032	0.281418763
"ZS|0.6,HN|6"	0.251141553	0.228162759
"ZS|0.6,NT|3"	0.538812785	0.043612638
"ZS|0.6,P6|20"	0.269406393	0.211530371
"ZS|0.6,PLX|60"	0.255707763	0.223949213
"ZS|0.6,RO|3.5"	0.232876712	0.24537501
"ZS|0.6,SR|2.4"	0.077625571	0.410268104
"ZS|0.6,ST|0.6"	0.146118721	0.334072155
"ZS|0.6,Tm|0.3"	0.369863014	0.131446866
ZS|1.2	0.534246575	0.045232663
	0.117368265	
