Drug	Spearman	p-val
901|1.5	0.168949772	0.309735538
"901|1.5,HN|6"	0.584474886	0.029487838
"901|1.5,NT|3"	-0.0456621	0.446973633
"901|1.5,P6|20"	0.00913242	0.489369941
"901|1.5,PLX|60"	0.173515982	0.30494581
"901|1.5,RO|3.5"	0.365296804	0.134645037
"901|1.5,SR|2.4"	0.168949772	0.309735538
"901|1.5,ST|0.6"	0.611872146	0.022714822
"901|1.5,Tm|0.3"	0.182648402	0.295448891
"901|1.5,ZS|0.6"	-0.0456621	0.446973633
901|3	0.607305936	0.02376047
AK|10	0.703196347	0.007888385
AK|5	-0.228310502	0.249765293
"AK|5,901|1.5"	0.342465753	0.151283824
"AK|5,HN|6"	-0.04109589	0.452254222
"AK|5,NT|3"	-0.251141553	0.228162759
"AK|5,P6|20"	0.231121887	0.24705818
"AK|5,PLX|60"	0.01826484	0.478746086
"AK|5,RO|3.5"	0.196347032	0.281418763
"AK|5,SR|2.4"	0.315068493	0.172652839
"AK|5,ST|0.6"	-0.114155251	0.369112028
"AK|5,Tm|0.3"	-0.091324201	0.394717034
"AK|5,ZS|0.6"	0.506849315	0.055786725
HN|12	-0.077625571	0.410268104
HN|6	0.00456621	0.494684583
"HN|6,NT|3"	-0.155251142	0.324262432
"HN|6,RO|3.5"	0.305936073	0.180108217
"HN|6,SR|2.4"	0.01826484	0.478746086
"HN|6,Tm|0.3"	-0.187214612	0.290742896
NT|3	-0.182648402	0.295448891
"NT|3,RO|3.5"	0.680365297	0.010612247
"NT|3,SR|2.4"	0.068493151	0.420701662
"NT|3,Tm|0.3"	0.196347032	0.281418763
NT|6	0.365296804	0.134645037
P6|20	-0.506849315	0.055786725
"P6|20,HN|6"	-0.210045662	0.267660706
"P6|20,NT|3"	0.278538813	0.203440027
"P6|20,RO|3.5"	0.424657534	0.096482503
"P6|20,SR|2.4"	0.01826484	0.478746086
"P6|20,ST|0.6"	-0.136986301	0.343975957
"P6|20,Tm|0.3"	0.246575342	0.232412559
P6|40	-0.429223744	0.093854247
PLX|120	0.232876712	0.24537501
PLX|60	0.114155251	0.369112028
"PLX|60,HN|6"	0.159817352	0.319394472
"PLX|60,NT|3"	0.506849315	0.055786725
"PLX|60,P6|20"	0.534246575	0.045232663
"PLX|60,RO|3.5"	0.251141553	0.228162759
"PLX|60,SR|2.4"	0.315068493	0.172652839
"PLX|60,ST|0.6"	-0.073059361	0.415478759
"PLX|60,Tm|0.3"	-0.063926941	0.425936066
RO|3.5	0.04109589	0.452254222
"RO|3.5,Tm|0.3"	0.073059361	0.415478759
RO|7	0.091324201	0.394717034
RY|2	0.082191781	0.405070439
"RY|2,901|1.5"	0.132420091	0.348961487
"RY|2,AK|5"	-0.091324201	0.394717034
"RY|2,HN|6"	-0.136986301	0.343975957
"RY|2,NT|3"	-0.232876712	0.24537501
"RY|2,P6|20"	0.02739726	0.468134633
"RY|2,PLX|60"	-0.255707763	0.223949213
"RY|2,RO|3.5"	0.378995434	0.125181138
"RY|2,SR|2.4"	0.068493151	0.420701662
"RY|2,ST|0.6"	0.273972603	0.20746605
"RY|2,Tm|0.3"	0.00913242	0.489369941
"RY|2,ZS|0.6"	-0.210045662	0.267660706
SR|2.4	-0.054794521	0.436436372
"SR|2.4,RO|3.5"	0.566210046	0.034695579
"SR|2.4,Tm|0.3"	-0.127853881	0.353968542
SR|4.8	0.319634703	0.16898684
ST|0.6	0.378995434	0.125181138
"ST|0.6,HN|6"	-0.01826484	0.478746086
"ST|0.6,NT|3"	0.200913242	0.276801768
"ST|0.6,RO|3.5"	0.858447489	0.000358994
"ST|0.6,SR|2.4"	-0.04109589	0.452254222
"ST|0.6,Tm|0.3"	0.260273973	0.219772356
ST|1.2	0.191780822	0.286065995
Tm|0.3	0.155251142	0.324262432
Tm|0.6	0.342465753	0.151283824
ZS|0.6	0.00456621	0.494684583
"ZS|0.6,HN|6"	-0.02283105	0.473438423
"ZS|0.6,NT|3"	0.447488584	0.083778811
"ZS|0.6,P6|20"	0.173515982	0.30494581
"ZS|0.6,PLX|60"	0	0.5
"ZS|0.6,RO|3.5"	0.232876712	0.24537501
"ZS|0.6,SR|2.4"	0.150684932	0.329155207
"ZS|0.6,ST|0.6"	0.146118721	0.334072155
"ZS|0.6,Tm|0.3"	0.479452055	0.067815299
ZS|1.2	0.726027397	0.005707199
	0.142558909	
