	901|1.5,Tm|0.3	P6|20,Tm|0.3	NT|3,SR|2.4	RY|2,P6|20	PLX|60,P6|20	901|1.5,SR|2.4	P6|20	ST|0.6,Tm|0.3	ZS|0.6,P6|20	P6|20,HN|6	901|1.5,HN|6	NT|3,Tm|0.3	NT|6	AK|10	AK|5,Tm|0.3	901|1.5,PLX|60	ZS|0.6,NT|3	AK|5	ZS|0.6,Tm|0.3	P6|20,SR|2.4	RY|2,HN|6	RY|2,RO|3.5	PLX|60,RO|3.5	ST|0.6,NT|3	PLX|60	PLX|60,Tm|0.3	901|1.5	ZS|0.6,PLX|60	ZS|0.6,HN|6	RY|2,SR|2.4	AK|5,ZS|0.6	RY|2,ZS|0.6	ST|0.6,HN|6	901|1.5,NT|3	RO|3.5	P6|20,RO|3.5	Tm|0.6	AK|5,ST|0.6	Tm|0.3	RY|2,Tm|0.3	P6|20,ST|0.6	PLX|60,ST|0.6	PLX|60,SR|2.4	ST|1.2	HN|6,NT|3	ZS|0.6,RO|3.5	P6|20,NT|3	RY|2,AK|5	ST|0.6,RO|3.5	RY|2,NT|3	RY|2	901|1.5,ZS|0.6	RY|2,901|1.5	HN|6	AK|5,PLX|60	HN|6,SR|2.4	PLX|60,HN|6	RY|2,ST|0.6	ST|0.6	SR|2.4,RO|3.5	901|1.5,P6|20	ZS|1.2	901|1.5,ST|0.6	NT|3,RO|3.5	PLX|60,NT|3	NT|3	ZS|0.6,ST|0.6	901|1.5,RO|3.5	AK|5,NT|3	P6|40	AK|5,901|1.5	901|3	RO|7	SR|2.4,Tm|0.3	AK|5,HN|6	AK|5,P6|20	ZS|0.6	SR|4.8	HN|6,RO|3.5	RO|3.5,Tm|0.3	SR|2.4	RY|2,PLX|60	ST|0.6,SR|2.4	HN|12	HN|6,Tm|0.3	PLX|120	AK|5,RO|3.5	ZS|0.6,SR|2.4	AK|5,SR|2.4
ABL1	3	3	2	2	3	2	3	3	3	3	3	4	100	4	4	3	4	4	4	2	2	2	2	3	3	3	3	3	4	2	4	2	3	3	2	2	4	3	4	2	3	3	2	3	100	2	3	2	2	2	2	3	2	100	3	2	3	2	3	2	3	4	3	2	3	100	3	2	4	3	3	3	2	2	4	3	4	2	2	2	2	2	2	100	4	3	2	2	2
ACACA	4	3	3	3	3	3	3	5	3	3	4	5	100	4	4	4	4	4	4	3	7	4	4	5	4	4	4	4	4	3	4	4	5	4	4	3	5	4	5	5	3	4	3	5	100	4	3	4	4	7	7	4	4	100	4	3	4	5	5	3	3	4	4	4	4	100	4	4	4	3	4	4	4	3	4	3	4	3	4	4	3	4	3	100	5	4	4	3	3
ACACB	4	3	3	3	3	3	3	5	3	3	4	5	100	4	4	4	4	4	4	3	7	4	4	5	4	4	4	4	4	3	4	4	5	4	4	3	5	4	5	5	3	4	3	5	100	4	3	4	4	7	7	4	4	100	4	3	4	5	5	3	3	4	4	4	4	100	4	4	4	3	4	4	4	3	4	3	4	3	4	4	3	4	3	100	5	4	4	3	3
ACTB	4	4	2	4	4	2	4	4	4	4	4	4	100	4	4	4	4	4	4	2	5	3	3	4	4	4	4	4	4	2	4	4	4	4	3	3	4	4	4	4	4	4	2	4	100	3	4	4	3	5	5	4	4	100	4	2	4	4	4	2	4	4	4	3	4	100	4	3	4	4	4	4	3	2	4	4	4	2	3	3	2	4	2	100	4	4	3	2	2
AGFG1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
AIM1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
AKT1	2	2	2	2	2	2	2	2	1	2	3	2	100	1	1	3	1	1	1	2	5	2	2	4	3	2	3	1	1	2	1	1	4	3	2	2	2	1	2	2	2	3	2	4	100	1	2	1	2	5	5	1	3	100	1	2	3	4	4	2	2	1	3	2	3	100	1	2	1	2	1	3	2	2	1	1	1	2	2	2	2	3	2	100	2	3	1	1	1
AKT1S1	2	2	3	3	3	3	3	2	2	3	4	2	100	2	2	4	2	2	2	3	6	3	3	5	4	2	4	2	2	3	2	2	5	4	3	3	2	2	2	2	3	4	3	5	100	2	3	2	3	6	6	2	4	100	2	3	4	5	5	3	3	2	4	3	4	100	2	3	2	3	2	4	3	2	2	2	2	3	3	2	3	4	3	100	2	4	2	2	2
AKT2	4	5	3	5	4	3	5	5	1	5	4	5	100	1	1	4	1	1	1	3	6	4	4	5	4	4	4	1	1	3	1	1	5	4	4	4	5	1	5	5	5	4	3	5	100	1	5	1	4	6	6	1	4	100	1	3	4	5	5	3	4	1	4	4	4	100	1	4	1	5	1	4	4	3	1	1	1	3	4	4	3	4	3	100	5	4	1	1	1
AKT3	4	5	3	5	4	3	5	5	1	5	4	5	100	1	1	4	1	1	1	3	6	4	4	5	4	4	4	1	1	3	1	1	5	4	4	4	5	1	5	5	5	4	3	5	100	1	5	1	4	6	6	1	4	100	1	3	4	5	5	3	4	1	4	4	4	100	1	4	1	5	1	4	4	3	1	1	1	3	4	4	3	4	3	100	5	4	1	1	1
