	901|1.5,Tm|0.3	P6|20,Tm|0.3	NT|3,SR|2.4	RY|2,P6|20	PLX|60,P6|20	901|1.5,SR|2.4	P6|20	ST|0.6,Tm|0.3	ZS|0.6,P6|20	P6|20,HN|6	901|1.5,HN|6	NT|3,Tm|0.3	NT|6	AK|10	AK|5,Tm|0.3	901|1.5,PLX|60	ZS|0.6,NT|3	AK|5	ZS|0.6,Tm|0.3	P6|20,SR|2.4	RY|2,HN|6	RY|2,RO|3.5	PLX|60,RO|3.5	ST|0.6,NT|3	PLX|60	PLX|60,Tm|0.3	901|1.5	ZS|0.6,PLX|60	ZS|0.6,HN|6	RY|2,SR|2.4	AK|5,ZS|0.6	RY|2,ZS|0.6	ST|0.6,HN|6	901|1.5,NT|3	RO|3.5	P6|20,RO|3.5	Tm|0.6	AK|5,ST|0.6	Tm|0.3	RY|2,Tm|0.3	P6|20,ST|0.6	PLX|60,ST|0.6	PLX|60,SR|2.4	ST|1.2	HN|6,NT|3	ZS|0.6,RO|3.5	P6|20,NT|3	RY|2,AK|5	ST|0.6,RO|3.5	RY|2,NT|3	RY|2	901|1.5,ZS|0.6	RY|2,901|1.5	HN|6	AK|5,PLX|60	HN|6,SR|2.4	PLX|60,HN|6	RY|2,ST|0.6	ST|0.6	SR|2.4,RO|3.5	901|1.5,P6|20	ZS|1.2	901|1.5,ST|0.6	NT|3,RO|3.5	PLX|60,NT|3	NT|3	ZS|0.6,ST|0.6	901|1.5,RO|3.5	AK|5,NT|3	P6|40	AK|5,901|1.5	901|3	RO|7	SR|2.4,Tm|0.3	AK|5,HN|6	AK|5,P6|20	ZS|0.6	SR|4.8	HN|6,RO|3.5	RO|3.5,Tm|0.3	SR|2.4	RY|2,PLX|60	ST|0.6,SR|2.4	HN|12	HN|6,Tm|0.3	PLX|120	AK|5,RO|3.5	ZS|0.6,SR|2.4	AK|5,SR|2.4
ABL1	0.01286930683	0.00965079305626	0.00839378327858	0.00770087964287	0.00868802079216	0.0124979693686	0.00547680008287	0.00703207551513	0.0210709364873	0.00586461037794	0.00908312415164	0.00876512073992	0.00459112776653	0.00602183874897	0.0101958317224	0.0092878226465	0.020185264171	0.00602183874897	0.0197681293778	0.00680456562415	0.00261188985509	0.0119875387626	0.0129746799119	0.00744921030828	0.00321122070929	0.00738521368268	0.00869531385656	0.0188053571137	0.0159819466995	0.00602673507206	0.0155941364044	0.0178182159645	0.00324589283682	0.0132864416231	0.0097634592026	0.0152402592855	0.00417399297339	0.00887992129071	0.00417399297339	0.0063980725334	0.00833488262461	0.00606930325104	0.00701387622134	0.00285808254174	0.00497893806161	0.025357595607	0.0100679278494	0.00824591830898	0.0126215417443	0.00681520732654	0.00222407956001	0.024289450261	0.0109193934166	0.000387810295078	0.00923305945827	0.00419046580713	0.00359903100437	0.00508216210175	0.00285808254174	0.0135661147146	0.0141721139394	0.0155941364044	0.0115533963983	0.0143545869691	0.00780234847583	0.00459112776653	0.0184522189462	0.0184587730592	0.0106129665155	0.00547680008287	0.0147171526055	0.00869531385656	0.0097634592026	0.00797664848544	0.00640964904405	0.0114986388318	0.0155941364044	0.00380265551205	0.0101512694977	0.013937452176	0.00380265551205	0.0054353002693	0.00666073805379	0.000387810295078	0.00456180326847	0.00321122070929	0.0157852979516	0.0193967919165	0.00982449426102
ACACA	0.00354577116015	0.00254910232298	0.00321385572653	0.00241396505082	0.00244543737878	0.00418349174498	0.00116782212683	0.00212944728989	0.00590616646307	0.00124801686419	0.00224468570136	0.00257613514169	0.00119485494554	0.00206574453195	0.00344702472811	0.00275673240671	0.00593319928178	0.00206574453195	0.00611962453239	0.00238252822654	0.00132633766135	0.00373414403456	0.00376561636251	0.00194302203928	0.00127761525195	0.0026588954481	0.002164490964	0.00601595958819	0.0048185390736	0.00326514370498	0.00473834433624	0.00598448726023	0.000828361831097	0.00335934590954	0.00248800111056	0.00365582323739	0.00138128019615	0.00281391162569	0.00138128019615	0.00262742312014	0.00191598922057	0.00202578234568	0.00329661603293	0.000748167093736	0.0012750496829	0.0072263454468	0.00236267707237	0.00331188745595	0.0032361682043	0.00244099786953	0.00124614292399	0.00690283530024	0.00341063388799	8.01947373609e-05	0.0033433597839	0.00209919551835	0.00135780998931	0.00199431001773	0.000748167093736	0.00450700189155	0.00333231309083	0.00473834433624	0.00291265805773	0.00368285605611	0.00247247019749	0.00119485494554	0.00548651142998	0.00465249207456	0.0032605994775	0.00116782212683	0.00423023549595	0.002164490964	0.00248800111056	0.00340028097714	0.00214593926931	0.00323356665878	0.00473834433624	0.00201900078098	0.00256819584792	0.00386928130672	0.00201900078098	0.00252375817594	0.00276716787472	8.01947373609e-05	0.00146147493351	0.00127761525195	0.00455374564252	0.00675734511723	0.00408474531294
ACACB	0.00849469945673	0.00776251825185	0.00612749715427	0.0051532929626	0.00636158994079	0.00888525510509	0.00444484307785	0.00440875871917	0.0195309596634	0.00637689902777	0.00710908023265	0.00573694150591	0.00241926633191	0.0109998812536	0.0143175564276	0.00529344428312	0.0175053829175	0.0109998812536	0.0184037917596	0.00506649315681	0.00264050583467	0.00414516632584	0.00535346330403	0.00351034987708	0.00191674686294	0.00523442203693	0.00517702428273	0.0170028634485	0.0170181725355	0.00441668070711	0.0150861165856	0.0157945664703	0.00302313949509	0.00759629061464	0.00343671644109	0.00788155951895	0.003317675174	0.0120909647988	0.003317675174	0.00402612505875	0.00553592662302	0.0030078304081	0.00562497768529	0.00109108354517	0.00435132228183	0.0185228330267	0.00686410940976	0.0117083311383	0.00452779998626	0.00312771621666	0.000708449884748	0.0202631408683	0.00588547416748	0.00193205594992	0.0129166281165	0.00564028677228	0.00384880281285	0.00179953342992	0.00109108354517	0.00714494726345	0.00962186736058	0.0150861165856	0.0062681078279	0.00585598277301	0.00433601319485	0.00241926633191	0.0161772001308	0.00861374072383	0.0134191475855	0.00444484307785	0.0161769055363	0.00517702428273	0.00343671644109	0.00702590599636	0.0129319372035	0.0154447243314	0.0150861165856	0.00370823082236	0.00536877239101	0.00675439161509	0.00370823082236	0.00262519674768	0.00479931436753	0.00193205594992	0.00524973112392	0.00191674686294	0.0144365976947	0.018794347408	0.0147081120759
ACTB	0.0152451065099	0.01059310106	0.0080357835542	0.00651061707185	0.00801730486528	0.0136652924616	0.00502671258254	0.00744088809425	0.0242585983245	0.00568247986193	0.0103344853118	0.0096155976025	0.00404920912508	0.00893554338069	0.0145019318581	0.00987028503459	0.0232810948671	0.00893554338069	0.0247982742194	0.00631100095226	0.00213967176871	0.00662256181421	0.00812924960764	0.00592370874191	0.00299059228274	0.00855698076016	0.00967871803243	0.0222224780247	0.0198876530214	0.00547047891844	0.019231885742	0.0207157902313	0.00253026689623	0.0137279271575	0.00513865732489	0.0101653699074	0.00556638847742	0.0108100429975	0.00556638847742	0.00705029296673	0.00690121219937	0.00486509189958	0.00697716671187	0.00187449961683	0.00470497640448	0.0243705430669	0.00907592170761	0.01041944787	0.00701315694172	0.00553311361439	0.00148390448932	0.0289106037744	0.0111626225217	0.000655767279399	0.0119261356634	0.00464234170852	0.00364635956214	0.00335840410615	0.00187449961683	0.00912523175401	0.014705430615	0.019231885742	0.0115532176493	0.00918786644997	0.00703980140782	0.00404920912508	0.0211063853588	0.0148173753573	0.0129847525058	0.00502671258254	0.0186142614131	0.00967871803243	0.00513865732489	0.00955296290654	0.00959131066009	0.0139622559632	0.019231885742	0.00398657442912	0.00579442460429	0.0107050458023	0.00398657442912	0.00447449677206	0.00586107404595	0.000655767279399	0.00622215575682	0.00299059228274	0.0140742007056	0.0232184601711	0.0129221178098
AGFG1	0.0010482880118	0.00162766162696	0.000514330707745	0.0014322163462	0.00162385953598	0.00102413771922	0.00135501959145	0.00059179010877	0.00320653739041	0.00137412520338	0.000794751588221	0.00053848100032	0.000265838964809	0.000514421362254	0.000787063397765	0.000784607588516	0.00211735676377	0.000514421362254	0.00212415983447	0.00142547919313	9.63023666743e-05	0.00109056557699	0.00128220876678	0.000584987038068	0.000268839944532	0.000541481980043	0.000775645976289	0.00212035774349	0.00187062341089	0.000325688497678	0.00185151779896	0.0019287145537	0.000338253685191	0.0010414849411	0.00101336882225	0.0023683884137	0.000272642035511	0.000833569435513	0.000272642035511	0.000349838790254	0.00167416766471	0.000587988017791	0.000517331687468	0.000319148073259	0.000284944576741	0.00286488662121	0.00162085855626	0.000591618116997	0.0013325168955	0.000343035719552	7.71967547425e-05	0.00262716377525	0.000852842731031	1.91056119318e-05	0.000783261306786	0.000267597354868	0.000287945556464	0.000396344828001	0.000319148073259	0.00126186056518	0.00213066556774	0.00185151779896	0.00109479404955	0.00127920778706	0.000534678909341	0.000265838964809	0.00217066587222	0.00178901479853	0.000780260327063	0.00135501959145	0.00129006733854	0.000775645976289	0.00101336882225	0.000521133778447	0.000533526974186	0.00186944095371	0.00185151779896	0.000248491742936	0.00103247443418	0.00128601085776	0.000248491742936	0.000346036699274	0.000567639816195	1.91056119318e-05	0.000291747647443	0.000268839944532	0.0015277901845	0.0021000095419	0.00076291310519
AIM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKT1	0.0127391600357	0.0097110801193	0.0119913008261	0.00739813898868	0.00788287613113	0.0150851747224	0.00521101731225	0.0067371246025	0.0217187654178	0.00598501149967	0.00901309141609	0.00964528613937	0.00514522333233	0.00888259980099	0.013382662608	0.00861721953845	0.0216529714378	0.00888259980099	0.0210078109126	0.00866240612526	0.00296111586384	0.00941412297185	0.00989886011431	0.00738228512778	0.00267185881888	0.00717192162593	0.00823909722867	0.0191796069244	0.0172817422929	0.00903319917017	0.0165077481055	0.0186948697819	0.00301105598287	0.013384320561	0.00722700129543	0.0124380186077	0.00450006280705	0.0111196615964	0.00450006280705	0.00668718448347	0.00744807910771	0.00490892061433	0.00951793631263	0.00223706179545	0.00591921751974	0.0237347494009	0.0103562406446	0.0110697214774	0.00946406309088	0.00733234500875	0.00218712167642	0.0247468453342	0.0104262189051	0.000773994187417	0.0115544586199	0.00762007168116	0.0034458530063	0.00442418347188	0.00223706179545	0.0140730787892	0.0134501145409	0.0165077481055	0.0104761590241	0.0123722246278	0.0078170821512	0.00514522333233	0.018744809901	0.0154660985241	0.0140278231333	0.00521101731225	0.0171216970297	0.00823909722867	0.00722700129543	0.0113461403008	0.0096565939884	0.0140936171132	0.0165077481055	0.00684607749375	0.00800099548284	0.0117270641025	0.00684607749375	0.0048589804953	0.0090831392892	0.000773994187417	0.00527405699446	0.00267185881888	0.0161096010964	0.0233538255993	0.0157286772947
AKT1S1	0.00126830440379	0.000933503468036	0.0010304129498	0.00123437268345	0.000659786067991	0.00113837209861	0.000420013309582	0.000738307673208	0.00187322752421	0.000453569280677	0.000788370216435	0.00116034525498	0.00064685509653	0.000671243024826	0.00118473318328	0.000780019107422	0.00210006931116	0.000671243024826	0.00196670437309	0.00049215497674	0.000847915344965	0.00207581775982	0.00150123114436	0.000871672611283	0.000239772758409	0.000753262916863	0.000754814245339	0.00169298697304	0.00148677018573	0.00119791722714	0.00145321421463	0.0022675735885	0.00025837348585	0.00140166934187	0.00126145838595	0.00168147169553	0.000513490158454	0.00089606053958	0.000513490158454	0.00132784953232	0.000644830824335	0.000464590273163	0.00062333061168	0.000224817514754	0.000680411067626	0.00271467260058	0.00106686840611	0.0014856023987	0.00148627590071	0.0014612144704	0.000814359373869	0.00220802845997	0.00156917361921	3.35559710959e-05	0.000911015783235	0.000417113824366	0.000273328729505	0.00103917688862	0.000224817514754	0.00164501623922	0.00117482755492	0.00145321421463	0.000979631760093	0.00190831348248	0.000886627854939	0.00064685509653	0.00167803172939	0.00201627263129	0.00131809812136	0.000420013309582	0.00142605727017	0.000754814245339	0.00126145838595	0.000897048011724	0.000704798995922	0.00109125633441	0.00145321421463	0.00038355785327	0.00129501435705	0.00177494854441	0.00038355785327	0.00105413213228	0.000608375368024	3.35559710959e-05	0.00054704612955	0.000239772758409	0.00193270141078	0.0018367720679	0.0010548008781
AKT2	0.0127258809137	0.0129190146822	0.0130888009323	0.0106249996856	0.0111436612681	0.016211602162	0.00845954985484	0.0066832901861	0.0250755405282	0.00923722357569	0.00904408980719	0.00960307968399	0.00514361485663	0.00900084839433	0.0134603132217	0.00864019660834	0.02175960553	0.00900084839433	0.0210754555007	0.00976323361008	0.00294312355166	0.0094262470023	0.00994490858473	0.00736744021537	0.00268411141324	0.0071435762406	0.00826641608634	0.0193001020866	0.0173936643942	0.0101106359065	0.0166159906733	0.0187814405041	0.00300149907959	0.013410030943	0.00726079717149	0.0157203470263	0.00445946482736	0.0112246737531	0.00445946482736	0.00662491465817	0.0106833752136	0.00490793677198	0.0106292974889	0.00222382535874	0.00592128857748	0.0238767878448	0.0136031647115	0.0111662982251	0.00948462253023	0.00730906468744	0.00216544983081	0.0248824067597	0.0104318659171	0.000777673720851	0.0116849598076	0.00872285979655	0.00346178513409	0.00438927518955	0.00222382535874	0.0152059832472	0.0167259659412	0.0166159906733	0.0104902414451	0.0124044120281	0.00782772626987	0.00514361485663	0.0188398160321	0.0155272132578	0.014144463251	0.00845954985484	0.0172672644807	0.00826641608634	0.00726079717149	0.0124046509031	0.00977852211518	0.0174603982492	0.0166159906733	0.0079451860757	0.00803847089234	0.0117202619988	0.0079451860757	0.00484956124405	0.0101690114344	0.000777673720851	0.00523713854821	0.00268411141324	0.0162616455658	0.024561176749	0.01694603447
AKT3	0.0127590559671	0.0129654814183	0.0131533425528	0.010679518067	0.0112002819979	0.0162859465219	0.00850393646787	0.00669507719726	0.0251381521175	0.00928454356032	0.00907811810912	0.00962645199798	0.00516490704758	0.00901653246951	0.0134780774199	0.00867345444893	0.0217991226973	0.00901653246951	0.0210957606001	0.00981215317156	0.00295618869159	0.00946969237529	0.00999045630623	0.00739843929443	0.00269634553008	0.00715789048048	0.00829751101666	0.0193305611798	0.0174148227421	0.0101640171043	0.0166342156497	0.0188097972488	0.00301413933931	0.0134624180642	0.00729411077616	0.015798047244	0.0044615449504	0.0112500647164	0.0044615449504	0.00663712654954	0.0107374687147	0.00492987777693	0.0106847810353	0.00223353224685	0.00594551414004	0.0239283264258	0.0136688435154	0.0111921140686	0.00952764302301	0.00734048864671	0.00217558159914	0.0249317266663	0.0104730926158	0.000780607092458	0.0117128779996	0.00876904259767	0.00347695262253	0.00440911384599	0.00223353224685	0.0152825462814	0.0168014474845	0.0166342156497	0.0105310432635	0.0124590178237	0.00786125257765	0.00516490704758	0.0188677478965	0.0155916217928	0.0141814395171	0.00850393646787	0.0173140434862	0.00829751101666	0.00729411077616	0.0124499804556	0.00979713956197	0.0175204689374	0.0166342156497	0.00798843550521	0.00807471786861	0.0117556557266	0.00798843550521	0.00487192712921	0.0102219677521	0.000780607092458	0.00524215204286	0.00269634553008	0.0163106432457	0.0246226511549	0.0170049679747
