	901|1.5,Tm|0.3	P6|20,Tm|0.3	NT|3,SR|2.4	RY|2,P6|20	PLX|60,P6|20	901|1.5,SR|2.4	P6|20	ST|0.6,Tm|0.3	ZS|0.6,P6|20	P6|20,HN|6	901|1.5,HN|6	NT|3,Tm|0.3	NT|6	AK|10	AK|5,Tm|0.3	901|1.5,PLX|60	ZS|0.6,NT|3	AK|5	ZS|0.6,Tm|0.3	P6|20,SR|2.4	RY|2,HN|6	RY|2,RO|3.5	PLX|60,RO|3.5	ST|0.6,NT|3	PLX|60	PLX|60,Tm|0.3	901|1.5	ZS|0.6,PLX|60	ZS|0.6,HN|6	RY|2,SR|2.4	AK|5,ZS|0.6	RY|2,ZS|0.6	ST|0.6,HN|6	901|1.5,NT|3	RO|3.5	P6|20,RO|3.5	Tm|0.6	AK|5,ST|0.6	Tm|0.3	RY|2,Tm|0.3	P6|20,ST|0.6	PLX|60,ST|0.6	PLX|60,SR|2.4	ST|1.2	HN|6,NT|3	ZS|0.6,RO|3.5	P6|20,NT|3	RY|2,AK|5	ST|0.6,RO|3.5	RY|2,NT|3	RY|2	901|1.5,ZS|0.6	RY|2,901|1.5	HN|6	AK|5,PLX|60	HN|6,SR|2.4	PLX|60,HN|6	RY|2,ST|0.6	ST|0.6	SR|2.4,RO|3.5	901|1.5,P6|20	ZS|1.2	901|1.5,ST|0.6	NT|3,RO|3.5	PLX|60,NT|3	NT|3	ZS|0.6,ST|0.6	901|1.5,RO|3.5	AK|5,NT|3	P6|40	AK|5,901|1.5	901|3	RO|7	SR|2.4,Tm|0.3	AK|5,HN|6	AK|5,P6|20	ZS|0.6	SR|4.8	HN|6,RO|3.5	RO|3.5,Tm|0.3	SR|2.4	RY|2,PLX|60	ST|0.6,SR|2.4	HN|12	HN|6,Tm|0.3	PLX|120	AK|5,RO|3.5	ZS|0.6,SR|2.4	AK|5,SR|2.4
ABL1	0.00256187539213	0.00480055636214	0.00235039851106	0.0047014076877	0.00363536734208	0.00246560196351	0.00291004193019	0.00217417301752	0.00693111474281	0.0031987565721	0.00096007560209	0.00244667193969	0.000556157507731	0.00214240220694	0.00403291663889	0.00133954899142	0.00457723032035	0.00214240220694	0.00591158724458	0.00296578694698	0.00208008039942	0.0031599121477	0.00209387180208	0.000839816093292	0.000725325411893	0.00261583984385	0.000671360960178	0.00474639822452	0.00430978745453	0.00358560676084	0.00402107281262	0.00581243857014	0.000572373227473	0.00122751846791	0.00136854639019	0.00427858832038	0.00189051443196	0.0024260607925	0.00189051443196	0.00368188018947	0.00319370051575	0.00100898399745	0.00251956641522	0.000283658585561	0.000844872149643	0.00538961920281	0.00346619943792	0.00393376796445	0.00165220497575	0.00234752326524	0.00179136575751	0.0046924337728	0.00246272671769	0.000288714641912	0.00286772761883	0.00208295564524	0.0010140400538	0.00207502434307	0.000283658585561	0.00316278739352	0.00358140289036	0.00402107281262	0.000955019545739	0.00192470389792	0.00128148291962	0.000556157507731	0.00430473139818	0.00203990735037	0.00269855971467	0.00291004193019	0.00281376316711	0.000671360960178	0.00136854639019	0.00368475543529	0.00243111684885	0.00505244413712	0.00402107281262	0.00179424100333	0.0016572610321	0.00325906082215	0.00179424100333	0.00251669116941	0.00207789958889	0.000288714641912	0.00217922907387	0.000725325411893	0.00351094859713	0.00581531381595	0.00393664321027
ACACA	0.00452437675403	0.00519751316117	0.00237900583773	0.00400625830835	0.00291238389169	0.00368677950114	0.00257608758652	0.00287809873601	0.00729629269395	0.00497995851726	0.00430682211012	0.00321660309062	0.000595177515972	0.00224554847258	0.00486697404723	0.00214922446915	0.0053153826234	0.00224554847258	0.00734163068207	0.00262292614508	0.00383404165256	0.00358474549568	0.00249087107901	0.000851850677335	0.000336296305162	0.00295772187981	0.00190295117939	0.00505650141259	0.00712407603816	0.00321399904359	0.00472020510742	0.00615037582925	0.0026605440921	0.00249812869536	0.00215457477385	0.00473066236037	0.00262142557465	0.00250222163395	0.00262142557465	0.00405159629648	0.00283276074789	0.000592969466525	0.00212012462692	0.000256673161362	0.00299904844671	0.00687477988127	0.0031712651025	0.00367571919441	0.00241124793521	0.0020253482378	0.00143017072183	0.00662315628681	0.00333312190122	0.00240387093073	0.00258184477775	0.00418769925249	0.0027401672359	0.00168684388319	0.000256673161362	0.0039384030956	0.00447903876591	0.00472020510742	0.00215962434075	0.00274975228982	0.000931473821135	0.000595177515972	0.00497687826879	0.00405752595323	0.00284072598856	0.00257608758652	0.00414849965197	0.00190295117939	0.00215457477385	0.0044052538964	0.00464941940332	0.00482163605911	0.00472020510742	0.00178382832176	0.00455844570458	0.00477600034849	0.00178382832176	0.00176646702699	0.00204050148312	0.00240387093073	0.00502529650538	0.000336296305162	0.00440012324643	0.00650403342918	0.00402937679434
ACACB	0.003625062224	0.00347168628117	0.00173045072199	0.00271700046803	0.00194375719272	0.0031750294048	0.00167010337015	0.00196390793899	0.00462540633557	0.0042063539415	0.00435972988434	0.00218048354119	0.000378900630173	0.0014026276644	0.00320421057542	0.00202684725747	0.00333420359559	0.0014026276644	0.00475688587643	0.00169509645404	0.00358314766922	0.00260562997079	0.00183238669548	0.000541225658147	0.000273653822569	0.00207523673358	0.00182347931299	0.00322895678798	0.00549155353677	0.00239844718969	0.00295530296542	0.00400220006329	0.00269857559932	0.00220237994316	0.00155873287291	0.00322883624307	0.00180158291101	0.00156495269238	0.00180158291101	0.00284848000889	0.00183242839813	0.000435978850544	0.00162520391438	0.000162325027974	0.00291515120152	0.00451403583833	0.00204900400033	0.00244952476228	0.00172105790089	0.00142579772805	0.00104689709787	0.0047787822784	0.00287037641086	0.00253625057135	0.00167628148697	0.00388780066316	0.00280990439392	0.00120922212585	0.000162325027974	0.00291028296473	0.00349358268314	0.00295530296542	0.00198580434096	0.00193763350309	0.000652554452743	0.000378900630173	0.00311762799339	0.0033822121859	0.00178152829458	0.00167010337015	0.00322610697739	0.00182347931299	0.00155873287291	0.00315313300283	0.00393887823575	0.00307273103456	0.00295530296542	0.00135155009181	0.00409498344426	0.00336031578393	0.00135155009181	0.00132055092044	0.00151387511979	0.00253625057135	0.00433783348236	0.000273653822569	0.00296136053732	0.00430685305723	0.00275417775622
ACTB	0.00636704694949	0.00906634330862	0.00661455852063	0.00820349941971	0.00654064222803	0.00741478668604	0.00565800812901	0.00475146072898	0.0162918475906	0.00667643675396	0.00397714039483	0.00556681878409	0.00215848360447	0.00538222659061	0.00879056177023	0.00351535890646	0.0127923230661	0.00538222659061	0.0140421746412	0.00621487829135	0.00356391991566	0.00659599100308	0.00493313381139	0.00350160915383	0.000882634099021	0.00429096927864	0.00295871176988	0.0115164735606	0.0116522680866	0.00700156620687	0.0106338394616	0.0131793307523	0.00236155417431	0.00511719537435	0.00405049971237	0.00970850784138	0.00340833517962	0.00672535213997	0.00340833517962	0.00595382647033	0.00700113367837	0.00222575964838	0.00533870901518	0.00134312554936	0.00317691222942	0.014684339174	0.00781649173348	0.00792771788132	0.00539362526173	0.00470397489518	0.00254549129071	0.0135925512315	0.00550420306058	0.00101842862495	0.00626486068963	0.00547450354111	0.00190106272397	0.00388861684007	0.00134312554936	0.00850657462854	0.00861671989888	0.0106338394616	0.00430183731924	0.00620898331684	0.00304111770349	0.00215848360447	0.011976965011	0.00700921148225	0.00754071019508	0.00565800812901	0.00834093836049	0.00295871176988	0.00405049971237	0.00786441009578	0.00640065521556	0.0110402347196	0.0106338394616	0.00445607491616	0.00506892833732	0.00745883489199	0.00445607491616	0.00342812538973	0.00579920046552	0.00101842862495	0.00442676380457	0.000882634099021	0.00943272630299	0.0150899143778	0.00983830150678
AGFG1	0.00207220817723	0.00243085400582	0.00124665731326	0.00192305246432	0.00172956303513	0.00171224874882	0.00113276618803	0.00145372032799	0.00371426907853	0.00129871405367	0.000940068225073	0.00160661674167	0.000308528923878	0.00160834781869	0.00290643563648	0.00131158544785	0.00289003181437	0.00160834781869	0.00387959070828	0.00116569619393	0.000956234141919	0.00165894794725	0.00146545851806	0.000464161434082	0.0005967968471	0.00189488466489	0.000774120359441	0.00317829973759	0.00274745075612	0.00172841466567	0.00258150289049	0.00337178916678	0.000321580375836	0.00108264928332	0.000868661670959	0.00200142785899	0.00129808781779	0.00176398032889	0.00129808781779	0.00208837409408	0.00128839869824	0.000752429357304	0.00153492523648	0.000155632510204	0.00047447678951	0.00345016456145	0.00144129511191	0.00239863409498	0.00102429418116	0.00109881520017	0.000790286276287	0.00335562324993	0.00156440663573	0.000165947865632	0.00220514466579	0.00110407625501	0.000762744712732	0.00094591878649	0.000155632510204	0.00180679006034	0.00190688654747	0.00258150289049	0.000929752869645	0.00117719059484	0.000905325770979	0.000308528923878	0.0027371354007	0.0016427820304	0.00191687674257	0.00113276618803	0.00238246817813	0.000774120359441	0.000868661670959	0.00223621620717	0.00177429568432	0.00274111400672	0.00258150289049	0.000938128389379	0.00103460953659	0.00216674948875	0.000938128389379	0.00138708312339	0.00109376089958	0.000165947865632	0.00146403568342	0.0005967968471	0.00247700948965	0.00351963127987	0.00254647620807
AIM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKT1	0.00486125980417	0.0070936568368	0.00400970046356	0.00634171664079	0.00458065495273	0.00461773368849	0.00388148757401	0.00370897129852	0.215274848426	0.00465831742403	0.0024259203914	0.00425322657924	0.00104105731645	0.207865907912	0.211078077175	0.00219773502842	0.212434418168	0.207865907912	0.214605530115	0.00397466929211	0.00323705891681	0.00509871191948	0.00333765023142	0.00153785935217	0.00069916737872	0.00391133664151	0.00164909054137	0.212092528231	0.212170190702	0.0054288722139	0.211393360852	0.213853589919	0.00127363188575	0.00269014785782	0.0026384828527	0.00651997042671	0.00321216926279	0.208362709948	0.00321216926279	0.00567239832958	0.00437828960973	0.00119596941444	0.00366781052583	0.000496802035724	0.00181788716648	0.214031843704	0.00492254489046	0.210326136979	0.00313528488842	0.00350128638323	0.00246022906678	0.213042451393	0.00410931960816	0.000776829850026	0.208565075291	0.00374547299714	0.00147599722875	0.00295703110251	0.000496802035724	0.00560712599981	0.00553057811538	0.211393360852	0.0021458925771	0.00367954016915	0.00174022469517	0.00104105731645	0.211890162888	0.00428757339407	0.208906965228	0.00388148757401	0.209514998453	0.00164909054137	0.0026384828527	0.00618081240991	0.208642737762	0.211747395486	0.211393360852	0.00296864314711	0.00341531270272	0.00585065211549	0.00296864314711	0.0031593964455	0.00346544518283	0.000776829850026	0.00398899911282	0.00069916737872	0.210504390765	0.214362003999	0.210834551059
AKT1S1	0.00298973204877	0.00440081979265	0.00285496044024	0.00375874304553	0.00298668308634	0.00311186583325	0.00241644655899	0.00293750673367	0.00665622057166	0.0030684743578	0.00165738661392	0.00273282665576	0.000748453422099	0.00281846278902	0.00480283602268	0.00116853113221	0.00498822743477	0.00281846278902	0.00622414724633	0.00247133572878	0.00199432428536	0.00221591083995	0.00144385088076	0.00170158692211	0.000570236527354	0.00255460976101	0.00100535881511	0.00481001054003	0.00489180181149	0.00344880350468	0.00423977401267	0.00558207049922	0.00160516129883	0.00175381223721	0.000873614353403	0.00329006091239	0.00198437323366	0.00377159628904	0.00198437323366	0.0033266697202	0.003369580059	0.00152337002737	0.00267674354549	0.000953133500014	0.00140048122091	0.00511338836608	0.00316489998109	0.00416075927556	0.00182674785342	0.00209074990864	0.00134229648654	0.00524513282778	0.00234765530165	0.000652027798813	0.00338869931638	0.00275853481695	0.00122226432617	0.00229542998656	0.000953133500014	0.00298012137154	0.0034218053741	0.00423977401267	0.00195849231512	0.0016220677755	0.00131868994945	0.000748453422099	0.00519290751269	0.00187897316851	0.00356691621112	0.00241644655899	0.00382382160413	0.00100535881511	0.000873614353403	0.0040908802518	0.00347049058783	0.00523490934801	0.00423977401267	0.00210650701814	0.00152564215222	0.00285798758706	0.00210650701814	0.0019125330139	0.00305964051815	0.000652027798813	0.00263640103247	0.000570236527354	0.00369207714242	0.00634628103081	0.00492496980716
AKT2	0.0064661331977	0.00904626416757	0.00654309581311	0.00827189251126	0.00664468009463	0.00741665687176	0.00558607109204	0.00474114270466	0.0345640966498	0.00663413611911	0.00405400514924	0.00559257213904	0.00213237906351	0.0237576030286	0.0272177961042	0.00373883917205	0.0311104046213	0.0237576030286	0.0324382186333	0.00610319905894	0.00373388644629	0.00743869992858	0.00581148751195	0.00341332869264	0.00105860900259	0.00451880207812	0.00300594012217	0.0300366345604	0.0300260905849	0.00709653816882	0.0289780255578	0.031663846977	0.0023290146562	0.00513831918568	0.00475287850936	0.0103389496014	0.00346019307553	0.0250385526578	0.00346019307553	0.00614601449475	0.00686702072117	0.00233955863172	0.00546932575219	0.00128094962913	0.00318044409059	0.0337309040671	0.00771845015555	0.0264434244479	0.00603382813849	0.00481820048274	0.00268582141922	0.0319839656799	0.00569176154139	0.00104806502707	0.0248162120312	0.00545878177667	0.00210667402966	0.00396677104835	0.00128094962913	0.00916359525896	0.00859201121421	0.0289780255578	0.0042868897513	0.00688525757288	0.00319098806611	0.00213237906351	0.0302589751869	0.00775881863153	0.0258899820922	0.00558607109204	0.0267635431508	0.00300594012217	0.00475287850936	0.00787090982513	0.0248056680557	0.0293436741207	0.0289780255578	0.00441071674959	0.00580094353643	0.00821307158489	0.00441071674959	0.00374443042181	0.00569166637872	0.00104806502707	0.0045082581026	0.00105860900259	0.028510481538	0.0333887423074	0.0281683197782
AKT3	0.00303929994667	0.00109067604045	0.000900207660399	0.00113902406761	0.00349759098249	0.00350686628634	0.000815204411311	0.000739971724884	0.822947352918	0.000890311535335	0.00283893544155	0.000432641320723	0.000157169691585	0.821843894777	0.822119366407	0.00280930603366	0.822289318198	0.821843894777	0.822407620136	0.000829207480345	0.000398926780328	0.000553609235456	0.00291217615033	0.000621669787331	0.00268238657118	0.00295785820031	0.00276382831753	0.824814535078	0.822207255631	0.00106685762512	0.822132148507	0.822455968163	0.000539607219769	0.00292099800912	0.000229789579152	0.00104499399046	0.000275471629138	0.822308394873	0.000275471629138	0.000599291285442	0.00127970450706	0.00314688666692	0.00342542453999	0.000464500095746	0.000232276815609	0.822361938086	0.000972374102896	0.822167714434	0.000694289674898	0.000480989347889	0.000323819656304	0.824895976824	0.00308764797383	7.51071240238e-05	0.824526281349	0.000818145092837	0.0027574936952	0.000788319752049	0.000464500095746	0.000972827547965	0.00357903272884	0.822132148507	0.00322832841328	0.000386959270737	0.00283955626276	0.000157169691585	0.822596648602	0.00299361789668	0.822001064469	0.000815204411311	0.824607723095	0.00276382831753	0.000229789579152	0.00101850959795	0.821919001901	0.822659099189	0.822132148507	0.000743037968813	0.000304896703176	0.00050526120829	0.000743037968813	0.00300620622748	0.00120753806456	7.51071240238e-05	0.000350578753162	0.00268238657118	0.822073684357	0.822875186476	0.822586932746
